Wall time,Step,Value
1680826062.1591542,0,-656000.0
1680826070.7191484,1,-654446.0
1680826079.317392,2,-662613.0
1680826089.949292,3,-653664.0
1680826099.6792796,4,-678933.0
1680826109.3385324,5,-667235.0
1680826119.0995538,6,-661983.0
1680826128.3864546,7,-661812.0
1680826138.2744863,8,-678358.0
1680826147.8243272,9,-659444.0
1680826157.1144457,10,-665117.0
1680826166.1343315,11,-661542.0
1680826175.3884873,12,-660189.0
1680826184.5974784,13,-654951.0
1680826193.9202287,14,-665935.0
1680826203.9641705,15,-654978.0
1680826213.5545676,16,-666688.0
1680826222.9344296,17,-664787.0
1680826232.6692696,18,-655214.0
1680826242.1507215,19,-668276.0
1680826251.7464345,20,-686959.0
1680826261.0283678,21,-662537.0
1680826270.4007003,22,-671040.0
1680826280.0953703,23,-665966.0
1680826289.789605,24,-661282.0
1680826299.6884453,25,-661425.0
1680826309.7557335,26,-662799.0
1680826319.8343058,27,-669575.0
1680826330.2144842,28,-675141.0
1680826339.934272,29,-671224.0
1680826351.6843336,30,-669844.0
1680826361.5042944,31,-666001.0
1680826371.0693617,32,-672233.0
1680826382.8146846,33,-654437.0
1680826394.2189345,34,-662050.0
1680826404.484494,35,-673790.0
1680826414.5504978,36,-677412.0
1680826424.914518,37,-667702.0
1680826435.1897757,38,-672688.0
1680826446.1843143,39,-660105.0
1680826455.6915064,40,-662052.0
1680826466.7746658,41,-679108.0
1680826478.900547,42,-670412.0
1680826489.6194043,43,-667924.0
1680826499.6986542,44,-673048.0
1680826509.900787,45,-675809.0
1680826520.1743662,46,-671367.0
1680826530.7946439,47,-672487.0
1680826541.7198,48,-661458.0
1680826553.991131,49,-672262.0
1680826564.7248282,50,-660404.0
1680826575.3544376,51,-651941.0
1680826585.4347427,52,-655598.0
1680826596.0877848,53,-664884.0
1680826606.565572,54,-656275.0
1680826616.9844105,55,-665974.0
1680826627.6347814,56,-674440.0
1680826638.5645862,57,-689609.0
1680826650.2067533,58,-672574.0
1680826661.5046196,59,-667500.0
1680826672.727537,60,-645990.0
1680826684.074827,61,-670687.0
1680826694.6795328,62,-647137.0
1680826705.869887,63,-665833.0
1680826717.964848,64,-683070.0
1680826728.4845402,65,-677464.0
1680826739.474763,66,-658495.0
1680826750.0975895,67,-688835.0
1680826761.0446448,68,-677370.0
1680826770.9596245,69,-662395.0
1680826781.1599367,70,-673379.0
1680826793.06803,71,-671455.0
1680826804.1948097,72,-658889.0
1680826815.2946575,73,-662644.0
1680826825.2045825,74,-654622.0
1680826835.1248229,75,-665071.0
1680826845.0696695,76,-647904.0
