Wall time,Step,Value
1680825998.0942662,0,-1091031.0
1680826002.0891747,1,-1094031.0
1680826006.1989183,2,-1109941.0
1680826011.794145,3,-1091674.0
1680826016.638649,4,-1132534.0
1680826020.8593462,5,-1116849.0
1680826025.3541431,6,-1098212.0
1680826029.739171,7,-1090309.0
1680826034.024192,8,-1094754.0
1680826038.4241092,9,-1102513.0
1680826042.8443592,10,-1104744.0
1680826047.74449,11,-1099169.0
1680826053.9445593,12,-1086022.0
1680826062.3641462,13,-1076135.0
1680826070.4591494,14,-1086275.0
1680826078.5755367,15,-1093403.0
1680826088.494118,16,-1083298.0
1680826098.0491908,17,-1095415.0
1680826107.2313895,18,-1097115.0
1680826116.1195812,19,-1098350.0
1680826125.379435,20,-1095387.0
1680826134.5863981,21,-1089606.0
1680826143.4146,22,-1098463.0
1680826152.3195386,23,-1103215.0
1680826160.8464973,24,-1109058.0
1680826169.5243592,25,-1099009.0
1680826178.2043993,26,-1086445.0
1680826186.8592453,27,-1101706.0
1680826195.684145,28,-1093399.0
1680826205.17836,29,-1108530.0
1680826214.2106209,30,-1094471.0
1680826223.04463,31,-1098683.0
1680826232.1944084,32,-1115443.0
1680826241.0973153,33,-1082081.0
1680826250.0356297,34,-1092504.0
1680826258.8495605,35,-1097013.0
1680826267.5844004,36,-1101459.0
1680826276.4843445,37,-1103823.0
1680826285.6346776,38,-1082234.0
1680826294.8353775,39,-1077186.0
1680826304.4293303,40,-1098637.0
1680826313.7373455,41,-1092260.0
1680826323.831565,42,-1111191.0
1680826332.9184208,43,-1085463.0
1680826342.0275762,44,-1089654.0
1680826353.1744153,45,-1113169.0
1680826362.4314826,46,-1111021.0
1680826371.38734,47,-1090890.0
1680826382.3086364,48,-1085971.0
1680826393.3555021,49,-1094271.0
1680826403.059632,50,-1073804.0
1680826412.4968185,51,-1081753.0
1680826422.2047024,52,-1116060.0
1680826431.8264759,53,-1100257.0
1680826442.0594993,54,-1094879.0
1680826451.1245985,55,-1102722.0
1680826460.234538,56,-1089888.0
1680826471.4595642,57,-1109981.0
1680826482.4424853,58,-1094069.0
1680826492.505822,59,-1114629.0
1680826502.04674,60,-1084148.0
1680826511.5555093,61,-1105330.0
1680826521.2193463,62,-1085231.0
1680826531.2545195,63,-1103659.0
1680826541.4447174,64,-1111905.0
1680826553.1393886,65,-1106974.0
1680826563.2298393,66,-1080988.0
1680826573.1947145,67,-1127298.0
1680826582.6767385,68,-1098963.0
1680826592.7794545,69,-1090706.0
1680826602.6346312,70,-1104320.0
1680826612.4499319,71,-1101392.0
1680826622.3294332,72,-1097230.0
1680826632.524399,73,-1091074.0
1680826642.6647282,74,-1090832.0
1680826653.9692166,75,-1099665.0
1680826664.4546154,76,-1082703.0
1680826675.4575436,77,-1108624.0
1680826685.6795123,78,-1099875.0
1680826695.6928916,79,-1104409.0
1680826706.2175622,80,-1114600.0
1680826717.6459236,81,-1100472.0
1680826727.5997875,82,-1091145.0
1680826737.7549756,83,-1101699.0
1680826747.8147316,84,-1092915.0
1680826758.0748203,85,-1116299.0
1680826767.7620952,86,-1087373.0
1680826777.3825068,87,-1112940.0
1680826787.1345277,88,-1081192.0
1680826799.159714,89,-1121987.0
1680826808.7045395,90,-1102832.0
1680826819.2296023,91,-1096244.0
1680826828.4349122,92,-1109622.0
1680826837.8551357,93,-1129177.0
1680826847.4345825,94,-1134418.0
