Wall time,Step,Value
1680826091.3578153,0,-1040927.0
1680826100.909151,1,-1048463.0
1680826110.1895936,2,-1049529.0
1680826119.664145,3,-1026652.0
1680826128.6341708,4,-1089523.0
1680826138.2135348,5,-1069013.0
1680826147.5224402,6,-1048108.0
1680826156.4892147,7,-1032246.0
1680826165.2574928,8,-1041048.0
1680826174.2092202,9,-1038678.0
1680826183.2483222,10,-1038348.0
1680826192.2355711,11,-1044350.0
1680826201.7114105,12,-1035301.0
1680826211.2096515,13,-1012355.0
1680826220.2443602,14,-1014127.0
1680826229.766574,15,-1040841.0
1680826238.9695923,16,-1017046.0
1680826248.199316,17,-1033102.0
1680826257.2045732,18,-1038290.0
1680826266.176417,19,-1035981.0
1680826275.4393878,20,-1023303.0
1680826284.765368,21,-1030925.0
1680826294.2565112,22,-1040750.0
1680826303.9967678,23,-1043292.0
1680826313.6648755,24,-1046981.0
1680826324.1244617,25,-1037007.0
1680826333.463406,26,-1020348.0
1680826343.0987804,27,-1054107.0
1680826354.2095516,28,-1028334.0
1680826363.6723614,29,-1051090.0
1680826373.1165686,30,-1040317.0
1680826384.9642699,31,-1034501.0
1680826395.6126034,32,-1059627.0
1680826405.4444664,33,-1014455.0
1680826415.2842636,34,-1033824.0
1680826425.3365712,35,-1036996.0
1680826435.234537,36,-1028113.0
1680826445.8773956,37,-1046068.0
1680826455.1537392,38,-1033868.0
1680826465.6717446,39,-1031715.0
1680826477.5666752,40,-1033772.0
1680826488.100773,41,-1038960.0
1680826497.9796214,42,-1049369.0
1680826507.9907339,43,-1023147.0
1680826517.9147406,44,-1029994.0
1680826528.2254672,45,-1054302.0
1680826538.6747873,46,-1046895.0
1680826550.6851664,47,-1031190.0
1680826561.3098264,48,-1031144.0
1680826571.6845596,49,-1041199.0
1680826581.6345115,50,-1012004.0
1680826591.955785,51,-1019780.0
1680826602.0897236,52,-1053658.0
1680826612.2197347,53,-1034731.0
1680826622.4768732,54,-1031711.0
1680826633.0947118,55,-1028475.0
1680826643.8248234,56,-1020289.0
1680826655.345599,57,-1042802.0
1680826666.3725824,58,-1025208.0
1680826677.7546527,59,-1062785.0
1680826688.1687717,60,-1015552.0
1680826698.434625,61,-1044376.0
1680826709.8375995,62,-1028267.0
1680826721.3360257,63,-1048553.0
1680826731.489527,64,-1050511.0
1680826742.204815,65,-1044329.0
1680826752.69978,66,-1019635.0
1680826763.2878108,67,-1076227.0
1680826773.4695592,68,-1045411.0
1680826782.9893734,69,-1040422.0
1680826795.6946898,70,-1044248.0
1680826805.9178047,71,-1045194.0
1680826816.9246476,72,-1033164.0
1680826826.4595194,73,-1025079.0
1680826836.2245688,74,-1029317.0
1680826846.0749311,75,-1047503.0
1680826854.5448685,76,-1040571.0
