Wall time,Step,Value
1682972307.4598234,0,-693767.0
1683009136.9037554,1,-706632.0
1683010144.595411,2,-713288.0
1683010823.4831626,3,-718195.0
1683011354.5791366,4,-697743.0
1683011871.5134423,5,-674736.0
1683012374.760917,6,-691631.0
1683012884.6446183,7,-710595.0
1683013387.8026123,8,-695600.0
1683013889.3885212,9,-718195.0
1683014390.6223621,10,-697743.0
1683014892.9686668,11,-674736.0
1683015421.0613322,12,-691631.0
1683016012.612785,13,-710595.0
1683016648.4357486,14,-695600.0
1683017285.2975693,15,-718195.0
1683017917.6716177,16,-697743.0
1683018550.9710848,17,-674736.0
1683019187.268083,18,-691631.0
1683019774.2188387,19,-710595.0
1683020279.4924724,20,-695600.0
1683020791.528755,21,-718195.0
1683021294.8731668,22,-697743.0
1683021798.9972005,23,-674736.0
1683022303.0536458,24,-691631.0
1683022805.810392,25,-710595.0
1683023308.5912545,26,-695600.0
1683023810.341558,27,-718195.0
1683024372.1032605,28,-697743.0
1683025011.3591964,29,-674736.0
1683025648.2000046,30,-691631.0
1683026293.8915384,31,-710595.0
1683026928.426038,32,-695600.0
1683027563.6305768,33,-718195.0
1683028196.7818918,34,-697743.0
1683028705.9968858,35,-674736.0
1683029235.6606648,36,-691631.0
1683029745.0000308,37,-710595.0
1683030250.2166831,38,-695600.0
1683030753.3410432,39,-718195.0
1683031264.9197915,40,-697743.0
1683031787.3724613,41,-674736.0
1683032439.955616,42,-691631.0
1683033076.6975458,43,-710595.0
1683046278.3524065,44,-695600.0
1683046911.674707,45,-718195.0
1683047574.5723183,46,-697743.0
1683048228.7883143,47,-674736.0
1683048750.3754823,48,-691631.0
1683049271.2304668,49,-710595.0
1683049798.644425,50,-695600.0
1683050436.9079168,51,-718195.0
1683051090.5116956,52,-697743.0
1683051596.20234,53,-674736.0
1683052101.0866954,54,-691631.0
1683052603.3615665,55,-710595.0
1683053107.1128397,56,-695600.0
1683053608.5264869,57,-718195.0
1683054174.7746875,58,-697743.0
1683054821.1464274,59,-674736.0
1683055457.5430427,60,-691631.0
1683056094.95616,61,-710595.0
1683056728.3367946,62,-695600.0
1683057360.4184983,63,-718195.0
1683058017.5719965,64,-697743.0
1683058517.0274105,65,-674736.0
1683059027.3399408,66,-691631.0
1683059530.623993,67,-710595.0
1683060033.4411278,68,-695600.0
1683060535.1274776,69,-718195.0
1683061060.1576703,70,-697743.0
1683090222.5219815,71,-674736.0
1683090854.229362,72,-691631.0
1683091488.6395013,73,-710595.0
1683092124.025448,74,-695600.0
1683133568.4170504,75,-718195.0
1683134241.514668,76,-697743.0
1683134781.0467992,77,-674736.0
1683135317.241488,78,-691631.0
1683135851.5979369,79,-710595.0
1683136378.7739763,80,-695600.0
1683136906.9052732,81,-718195.0
1683137435.446465,82,-697743.0
1683138040.0446217,83,-674736.0
1683138690.3862026,84,-691631.0
1683139340.2760494,85,-710595.0
1683139988.2239506,86,-695600.0
1683140681.0853431,87,-718195.0
1683141255.258761,88,-697743.0
1683141837.9022,89,-674736.0
1683142419.9510717,90,-691631.0
1683143130.5274224,91,-710595.0
1683143905.758493,92,-695600.0
1683144680.110322,93,-718195.0
1683145434.1516407,94,-697743.0
1683146003.7666345,95,-674736.0
1683146585.292605,96,-691631.0
1683179755.9213753,97,-710595.0
1683180316.3891976,98,-695600.0
1683180876.230598,99,-718195.0
