Wall time,Step,Value
1680513596.249787,0,-483849.0
1680513662.3337867,1,-483302.0
1680513729.4389045,2,-467389.0
1680513796.3467402,3,-466872.0
1680513865.3657691,4,-455876.0
1680513934.5847516,5,-460113.0
1680513999.786856,6,-473746.0
1680514064.605606,7,-473306.0
1680514129.6240036,8,-476740.0
1680514192.6067512,9,-468552.0
1680514254.279769,10,-470037.0
1680514318.2998717,11,-466518.0
1680514379.704692,12,-476740.0
1680514440.389609,13,-468552.0
1680514506.0960326,14,-470037.0
1680514567.0663707,15,-466518.0
1680514634.2124867,16,-476740.0
1680514703.034976,17,-468552.0
1680514766.5486948,18,-470037.0
1680514828.8786743,19,-466518.0
1680514891.2627208,20,-476740.0
1680514952.0795,21,-468552.0
1680515012.9639235,22,-470037.0
1680515075.5672019,23,-466518.0
1680515135.1747403,24,-476740.0
1680515189.2557576,25,-468552.0
1680515245.6266985,26,-470037.0
1680515301.024145,27,-466518.0
1680515355.4703486,28,-476740.0
1680515410.1264012,29,-468552.0
1680515464.797693,30,-470037.0
1680515519.2624383,31,-466518.0
1680515573.233938,32,-476740.0
1680515627.3725033,33,-468552.0
1680515684.036344,34,-470037.0
1680515738.834136,35,-466518.0
1680515798.3421023,36,-476740.0
1680515862.4568186,37,-468552.0
1680515923.4507682,38,-470037.0
1680515983.9514043,39,-466518.0
1680516045.248168,40,-476740.0
1680516108.3968658,41,-468552.0
1680516172.2871704,42,-470037.0
1680516231.8803494,43,-466518.0
1680516293.117227,44,-476740.0
1680516353.366068,45,-468552.0
1680516413.045158,46,-470037.0
1680516472.875221,47,-466518.0
1680516532.26189,48,-476740.0
1680516592.125495,49,-468552.0
1680516654.3358347,50,-470037.0
1680516713.3312607,51,-466518.0
1680516773.498869,52,-476740.0
1680516831.0701473,53,-468552.0
1680516889.848607,54,-470037.0
1680516947.69317,55,-466518.0
1680517002.902005,56,-476740.0
1680517057.917832,57,-468552.0
1680517121.4024453,58,-470037.0
1680517191.1097538,59,-466518.0
1680517260.517473,60,-476740.0
1680517330.0349905,61,-468552.0
1680517399.8076487,62,-470037.0
1680517469.1241884,63,-466518.0
1680517539.790883,64,-476740.0
1680517610.0366745,65,-468552.0
1680517680.2964542,66,-470037.0
1680517750.787349,67,-466518.0
1680517821.8957098,68,-476740.0
1680517895.3540206,69,-468552.0
1680517968.2838743,70,-470037.0
1680518037.658249,71,-466518.0
1680518107.6130724,72,-476740.0
1680518177.5300615,73,-468552.0
1680518247.3930018,74,-470037.0
1680518316.9872644,75,-466518.0
1680518386.4843748,76,-476740.0
1680518457.8194273,77,-468552.0
1680518529.5374687,78,-470037.0
1680518601.3184495,79,-466518.0
1680518673.0771475,80,-476740.0
1680518745.013981,81,-468552.0
1680518817.0930092,82,-470037.0
1680518889.2484417,83,-466518.0
1680518961.0073845,84,-476740.0
1680519030.2083097,85,-468552.0
