Wall time,Step,Value
1680535057.889122,0,-379353.0
1680535065.4624329,1,-380787.0
1680535075.1050344,2,-380787.0
1680535084.8089802,3,-380787.0
1680535094.5661407,4,-380787.0
1680535103.0493965,5,-380787.0
1680535110.756013,6,-380787.0
1680535118.4491253,7,-380787.0
1680535126.1449413,8,-380787.0
1680535134.1700578,9,-380787.0
1680535142.4020088,10,-380787.0
1680535150.6119897,11,-380787.0
1680535158.7972617,12,-380787.0
1680535168.12029,13,-380787.0
1680535177.3128839,14,-380787.0
1680535186.935942,15,-380787.0
1680535196.7212183,16,-380787.0
1680535206.2829823,17,-380787.0
1680535215.4152234,18,-380787.0
1680535222.5544367,19,-380787.0
1680535230.497127,20,-380787.0
1680535239.3850057,21,-380787.0
1680535248.4269369,22,-380787.0
1680535257.360991,23,-380787.0
1680535266.236971,24,-380787.0
1680535275.0942698,25,-380787.0
1680535284.0578933,26,-380787.0
1680535293.160861,27,-380787.0
1680535302.0840642,28,-380787.0
1680535310.9264102,29,-380787.0
1680535319.929778,30,-380787.0
1680535328.9680824,31,-380787.0
1680535337.85295,32,-380787.0
1680535346.895342,33,-380787.0
1680535355.905493,34,-380787.0
1680535364.8060899,35,-380787.0
1680535373.9282944,36,-380787.0
1680535382.9484386,37,-380787.0
1680535391.7198086,38,-380787.0
1680535400.6509783,39,-380787.0
1680535409.7247093,40,-380787.0
1680535418.7021487,41,-380787.0
1680535427.5754263,42,-380787.0
1680535436.573048,43,-380787.0
1680535445.6219318,44,-380787.0
1680535454.46711,45,-380787.0
1680535463.4380805,46,-380787.0
1680535472.399207,47,-380787.0
1680535481.2512426,48,-380787.0
1680535490.2400656,49,-380787.0
1680535499.1266387,50,-380787.0
1680535508.1833262,51,-380787.0
1680535517.1607409,52,-380787.0
1680535526.125259,53,-380787.0
1680535535.1667137,54,-380787.0
1680535544.1773868,55,-380787.0
1680535553.4303114,56,-380787.0
1680535562.5252216,57,-380787.0
1680535571.6374419,58,-380787.0
1680535580.7183452,59,-380787.0
1680535589.9174697,60,-380787.0
1680535598.9944246,61,-380787.0
1680535608.156364,62,-380787.0
1680535617.2370284,63,-380787.0
1680535626.3785691,64,-380787.0
1680535635.5711117,65,-380787.0
1680535644.629258,66,-380787.0
1680535653.6090999,67,-380787.0
1680535662.6990654,68,-380787.0
1680535671.9121947,69,-380787.0
1680535681.0861127,70,-380787.0
1680535690.2626405,71,-380787.0
1680535699.3741202,72,-380787.0
1680535708.5553296,73,-380787.0
1680535717.5009902,74,-380787.0
1680535726.5779786,75,-380787.0
1680535735.7659445,76,-380787.0
1680535744.988706,77,-380787.0
1680535754.215291,78,-380787.0
1680535763.165614,79,-380787.0
1680535772.2040498,80,-380787.0
1680535781.4429195,81,-380787.0
1680535790.4881144,82,-380787.0
1680535799.4907212,83,-380787.0
1680535808.4036887,84,-380787.0
1680535817.7118783,85,-380787.0
1680535826.832715,86,-380787.0
1680535836.099809,87,-380787.0
1680535845.3307438,88,-380787.0
1680535854.4953597,89,-380787.0
1680535863.7782605,90,-380787.0
1680535873.170553,91,-380787.0
1680535882.4190705,92,-380787.0
1680535891.6926422,93,-380787.0
1680535900.8284135,94,-380787.0
1680535910.1148257,95,-380787.0
1680535919.427428,96,-380787.0
1680535928.8083184,97,-380787.0
1680535938.052345,98,-380787.0
1680535947.3951714,99,-380787.0
1680535956.7472553,100,-380787.0
1680535966.0857449,101,-380787.0
1680535975.3641975,102,-380787.0
1680535984.6119041,103,-380787.0
1680535993.8439114,104,-380787.0
1680536003.1269522,105,-380787.0
1680536012.3655648,106,-380787.0
1680536021.5526488,107,-380787.0
1680536030.7804525,108,-380787.0
1680536040.106173,109,-380787.0
1680536049.19715,110,-380787.0
1680536058.456102,111,-380787.0
1680536067.5772073,112,-380787.0
1680536076.7889605,113,-380787.0
1680536086.0680175,114,-380787.0
1680536095.316604,115,-380787.0
1680536104.4327264,116,-380787.0
1680536113.3892255,117,-380787.0
1680536122.4171286,118,-380787.0
1680536131.4244864,119,-380787.0
1680536140.4326458,120,-380787.0
1680536149.6291618,121,-380787.0
1680536158.7694726,122,-380787.0
1680536167.8785589,123,-380787.0
1680536177.0988228,124,-380787.0
1680536186.1948934,125,-380787.0
1680536195.1634817,126,-380787.0
1680536204.2224855,127,-380787.0
1680536213.2906744,128,-380787.0
1680536222.5137396,129,-380787.0
1680536231.6142313,130,-380787.0
1680536240.6806211,131,-380787.0
1680536249.85615,132,-380787.0
1680536259.0436096,133,-380787.0
1680536268.2199643,134,-380787.0
1680536277.2688599,135,-380787.0
1680536286.400561,136,-380787.0
1680536295.5395842,137,-380787.0
1680536304.7666955,138,-380787.0
1680536313.9118345,139,-380787.0
1680536323.0173142,140,-380787.0
1680536332.0865848,141,-380787.0
1680536341.1960049,142,-380787.0
1680536350.2456186,143,-380787.0
1680536359.4659832,144,-380787.0
1680536368.6344972,145,-380787.0
1680536377.7737892,146,-380787.0
1680536386.9828491,147,-380787.0
1680536396.2074425,148,-380787.0
1680536405.301188,149,-380787.0
1680536414.3727555,150,-380787.0
1680536423.5008152,151,-380787.0
1680536432.6336327,152,-380787.0
1680536441.7632265,153,-380787.0
1680536451.034917,154,-380787.0
1680536460.2517724,155,-380787.0
1680536469.3826897,156,-380787.0
1680536478.6427798,157,-380787.0
1680536487.8442743,158,-380787.0
1680536496.9488013,159,-380787.0
1680536506.056815,160,-380787.0
1680536515.4303937,161,-380787.0
1680536524.814303,162,-380787.0
1680536534.0454507,163,-380787.0
1680536543.5034015,164,-380787.0
1680536552.8692813,165,-380787.0
1680536562.0735464,166,-380787.0
1680536571.5002534,167,-380787.0
1680536580.7284508,168,-380787.0
1680536590.0319686,169,-380787.0
1680536599.3184576,170,-380787.0
1680536608.7003338,171,-380787.0
1680536618.0327716,172,-380787.0
1680536627.2679915,173,-380787.0
1680536636.5658314,174,-380787.0
1680536645.9392848,175,-380787.0
1680536655.1082666,176,-380787.0
1680536664.3774316,177,-380787.0
1680536673.6514509,178,-380787.0
1680536683.1283135,179,-380787.0
1680536692.4940555,180,-380787.0
1680536701.9606428,181,-380787.0
1680536711.5203762,182,-380787.0
1680536721.0240676,183,-380787.0
1680536730.2993677,184,-380787.0
1680536739.9153602,185,-380787.0
1680536749.3968415,186,-380787.0
