Wall time,Step,Value
1680880306.700662,0,-575252.0
1680880402.2714963,1,-579838.0
1680880496.7997842,2,-589858.0
1680880597.1861103,3,-569027.0
1680880687.3786998,4,-572048.0
1680880792.3223364,5,-588341.0
1680880890.7413197,6,-595919.0
1680880988.6933236,7,-611682.0
1680881082.0113904,8,-576598.0
1680881174.7862427,9,-602840.0
1680881272.5350392,10,-600612.0
1680881361.6963406,11,-601806.0
1680881461.680981,12,-590135.0
1680881564.51877,13,-604272.0
1680881662.64421,14,-596223.0
1680881759.414038,15,-597138.0
1680881841.3553267,16,-599117.0
1680881923.9563746,17,-586429.0
1680882009.2671397,18,-583416.0
1680882094.695722,19,-584561.0
1680882184.2274542,20,-590541.0
1680882287.1536717,21,-605836.0
1680882388.3532927,22,-603253.0
1680882474.236675,23,-601487.0
1680882547.074449,24,-593730.0
1680882627.6162848,25,-602840.0
1680882700.6953185,26,-600612.0
1680882773.4243476,27,-601806.0
1680882845.6032126,28,-590135.0
1680882917.7050283,29,-604272.0
1680882989.0956676,30,-596223.0
1680883061.0116544,31,-597138.0
1680883132.0908756,32,-599117.0
1680883203.4944208,33,-586429.0
1680883274.859696,34,-583416.0
1680883346.072929,35,-584561.0
1680883417.9332738,36,-590541.0
1680883499.6876993,37,-605836.0
1680883585.8998146,38,-603253.0
1680883671.3240855,39,-601487.0
1680883760.7502022,40,-593730.0
1680883845.452593,41,-602840.0
1680883931.1925862,42,-600612.0
1680884020.7047937,43,-601806.0
1680884098.7120981,44,-590135.0
1680884175.0040257,45,-604272.0
1680884254.242746,46,-596223.0
1680884327.186367,47,-597138.0
1680884410.1198392,48,-599117.0
1680884488.1410093,49,-586429.0
1680884560.7300656,50,-583416.0
1680884632.7157438,51,-584561.0
1680884706.1217833,52,-590541.0
1680884778.935586,53,-605836.0
1680884852.1676643,54,-603253.0
