Wall time,Step,Value
1680905354.2599206,0,-682945.0
1680905429.5732133,1,-667404.0
1680905505.7303243,2,-700525.0
1680905619.462205,3,-687610.0
1680905698.0653155,4,-689534.0
1680905786.6471395,5,-703316.0
1680905882.2704663,6,-659646.0
1680905996.634691,7,-689722.0
1680906103.2664652,8,-697086.0
1680906223.994257,9,-682339.0
1680906361.6030478,10,-680552.0
1680906485.069115,11,-703316.0
1680906603.6797137,12,-659646.0
1680906728.1676242,13,-689722.0
1680906857.1634796,14,-697086.0
1680906974.7879632,15,-682339.0
1680907075.779061,16,-680552.0
1680907172.999584,17,-703316.0
1680907269.4559584,18,-659646.0
1680907364.995425,19,-689722.0
1680907454.7905102,20,-697086.0
1680907542.1282,21,-682339.0
1680907621.7203593,22,-680552.0
1680907705.1073153,23,-703316.0
1680964828.918696,24,-659646.0
1680964913.3252554,25,-689722.0
1680964987.0006592,26,-697086.0
1680965068.539459,27,-682339.0
1680965162.2372859,28,-680552.0
1680965240.3089254,29,-703316.0
1680965318.3668113,30,-659646.0
1680965396.4404082,31,-689722.0
1680965474.7752774,32,-697086.0
1680965559.9158869,33,-682339.0
1680965638.2172108,34,-680552.0
1680965716.9081988,35,-703316.0
1680965806.1782227,36,-659646.0
1680966406.1856022,37,-689722.0
1680966497.880254,38,-697086.0
1680966577.9853582,39,-682339.0
1680966658.3029385,40,-680552.0
1680966739.8442779,41,-703316.0
1680966822.6947224,42,-659646.0
1680966903.8790958,43,-689722.0
1680966993.667341,44,-697086.0
1680967077.8406723,45,-682339.0
1680967159.452161,46,-680552.0
1680967240.8110936,47,-703316.0
1680967324.3330314,48,-659646.0
1680967405.676623,49,-689722.0
1680967487.702661,50,-697086.0
1680967571.4049911,51,-682339.0
1680967654.241657,52,-680552.0
1680967737.6353734,53,-703316.0
1680967821.1989336,54,-659646.0
1680967916.9337268,55,-689722.0
1680968021.7329743,56,-697086.0
1680968112.9533134,57,-682339.0
1680968210.1777189,58,-680552.0
1680968297.89057,59,-703316.0
1680968392.4466112,60,-659646.0
1680968497.3314824,61,-689722.0
1680968599.2949195,62,-697086.0
1680968706.0778878,63,-682339.0
1680968812.31186,64,-680552.0
1680968902.8713813,65,-703316.0
1680968994.8966448,66,-659646.0
1680969081.1543992,67,-689722.0
1680969176.7857063,68,-697086.0
1680969270.3020864,69,-682339.0
1680969353.800684,70,-680552.0
1680969438.1782403,71,-703316.0
1680969535.3446026,72,-659646.0
1680969633.0860417,73,-689722.0
1680969738.0298107,74,-697086.0
1680969831.1631577,75,-682339.0
1680969931.35044,76,-680552.0
1680970041.603297,77,-703316.0
1680970153.7947934,78,-659646.0
1680970269.9130971,79,-689722.0
1680991857.6865652,80,-697086.0
1680991992.2553697,81,-682339.0
1680992090.10609,82,-680552.0
1680992178.1394734,83,-703316.0
1680992261.9342175,84,-659646.0
1680992342.3514292,85,-689722.0
1680992424.3501873,86,-697086.0
1680992506.0192943,87,-682339.0
1680992586.329995,88,-680552.0
1680992668.156238,89,-703316.0
1680992749.8717728,90,-659646.0
1680992856.1734283,91,-689722.0
1680992947.4698257,92,-697086.0
1680993036.5080063,93,-682339.0
1680993118.1244574,94,-680552.0
1680993209.2514014,95,-703316.0
1680993289.3040216,96,-659646.0
1680993369.95049,97,-689722.0
1680993449.5901637,98,-697086.0
1680993527.4292297,99,-682339.0
1680993631.293831,100,-680552.0
1680993729.9887471,101,-703316.0
1680993818.4572244,102,-659646.0
1680993925.2320588,103,-689722.0
1680994033.2689285,104,-697086.0
1680994143.5212662,105,-682339.0
1680997680.2360332,106,-680552.0
1680997778.09118,107,-703316.0
1680997896.59019,108,-659646.0
1680998009.1500814,109,-689722.0
1680998112.6905427,110,-697086.0
1680998223.9315085,111,-682339.0
1680998336.5486763,112,-680552.0
1680998438.280359,113,-703316.0
1680998553.3013809,114,-659646.0
1680998658.920607,115,-689722.0
1680998763.3334558,116,-697086.0
1680998873.7236385,117,-682339.0
1680998983.0447252,118,-680552.0
1680999103.7918973,119,-703316.0
1680999218.0312872,120,-659646.0
1680999331.7867782,121,-689722.0
1680999456.5396683,122,-697086.0
1680999581.9994328,123,-682339.0
1680999701.9047968,124,-680552.0
1680999820.6484756,125,-703316.0
1680999951.672592,126,-659646.0
1681000087.9088042,127,-689722.0
1681000208.0474455,128,-697086.0
