Wall time,Step,Value
1681312860.890056,5,-387678.0
1681312864.803383,6,-377707.0
1681312881.0298834,10,-384613.0
1681312885.1397722,11,-383840.0
1681312892.9892917,13,-374593.0
1681312896.7387445,14,-385041.0
1681312900.5061848,15,-383370.0
1681312912.185856,18,-382794.0
1681312916.3970976,19,-382639.0
1681312920.3459206,20,-392035.0
1681312935.5658145,24,-391908.0
1681312970.5977015,33,-383427.0
1681312974.6337047,34,-382711.0
1681312982.467257,36,-388764.0
1681312997.5813613,40,-385912.0
1681313005.4573748,42,-382566.0
1681313013.3262396,44,-379885.0
1681313017.0162826,45,-386284.0
1681313024.4812236,47,-387414.0
1681313032.1118612,49,-385049.0
1681313036.1886241,50,-381585.0
1681313047.7329907,53,-382699.0
1681313051.4374204,54,-378452.0
1681313055.1760635,55,-387906.0
1681313059.0673907,56,-380741.0
1681313062.8478518,57,-394662.0
1681313074.6883576,60,-376105.0
1681313078.4962707,61,-379254.0
1681313086.0921724,63,-386740.0
1681313093.896242,65,-381690.0
1681313097.916216,66,-383393.0
1681313101.650126,67,-394769.0
1681313105.4513352,68,-389796.0
1681313116.6864548,71,-387782.0
1681313120.3860707,72,-378893.0
1681313124.259686,73,-386022.0
1681313127.977975,74,-386722.0
1681313148.602162,79,-379150.0
1681313172.656345,84,-390354.0
1681313177.7361834,85,-387954.0
1681313182.2761672,86,-385095.0
1681313186.9842184,87,-389068.0
1681313191.3162267,88,-378907.0
1681313195.8913333,89,-383186.0
1681313218.080271,94,-393578.0
1681313252.175955,102,-391537.0
1681313265.0621884,105,-385795.0
1681313268.9205627,106,-383232.0
1681313298.6661756,113,-388390.0
1681313310.9910307,116,-385135.0
1681313319.536021,118,-391193.0
1681313323.5664785,119,-383001.0
1681313327.6896522,120,-377045.0
1681313343.9962633,124,-383773.0
1681313348.0427523,125,-384231.0
1681313352.0576513,126,-381835.0
1681313364.2260509,129,-389266.0
1681313368.2528236,130,-388053.0
1681313396.7864103,137,-383543.0
1681313404.8494914,139,-396251.0
1681313412.9661953,141,-382144.0
1681313416.9613073,142,-384357.0
1681313421.1312432,143,-389238.0
1681313425.1764624,144,-385223.0
1681313441.3487687,148,-389320.0
1681313449.6664274,150,-380732.0
1681313461.8027725,153,-385143.0
1681313465.8064914,154,-385299.0
1681313469.7865152,155,-385537.0
1681313478.0764031,157,-389076.0
1681313482.12555,158,-389500.0
1681313486.142378,159,-382315.0
1681313498.4221718,162,-378328.0
1681313506.512775,164,-379019.0
1681313510.5475676,165,-384492.0
1681313518.8063474,167,-390317.0
1681313522.9011793,168,-389741.0
1681313535.7066312,171,-382388.0
1681313556.2015536,176,-385562.0
1681313560.3227453,177,-388127.0
1681313564.3761508,178,-377773.0
1681313572.7593887,180,-381856.0
