Wall time,Step,Value
1684949583.8380344,0,-981078.0
1684949587.934766,1,-960542.0
1684949591.77843,2,-958861.0
1684949596.1756234,3,-962498.0
1684949599.992763,4,-990553.0
1684949604.2895703,5,-972021.0
1684949608.2115152,6,-972751.0
1684949612.3989348,7,-976035.0
1684949616.4737022,8,-954673.0
1684949620.4781642,9,-996458.0
1684949624.250609,10,-971642.0
1684949628.5075147,11,-976790.0
1684949633.6373756,12,-994687.0
1684949637.352112,13,-1000677.0
1684949640.9840443,14,-986959.0
1684949644.566293,15,-959092.0
1684949648.151114,16,-984276.0
1684949651.6997366,17,-946863.0
1684949655.270965,18,-939080.0
1684949658.815876,19,-939984.0
1684949662.4016063,20,-942599.0
1684949666.0005028,21,-994054.0
1684949669.54096,22,-960791.0
1684949673.1928408,23,-974767.0
1684949676.7378595,24,-987996.0
1684949680.2804759,25,-985754.0
1684949683.8739657,26,-974455.0
1684949687.705515,27,-950016.0
1684949692.1306915,28,-944545.0
1684949698.2646995,29,-968282.0
1684949702.6355362,30,-957401.0
1684949706.8038292,31,-990626.0
1684949710.7955077,32,-962320.0
1684949714.7595491,33,-980149.0
1684949718.8472166,34,-984753.0
1684949722.7489226,35,-1002405.0
1684949726.6466973,36,-969862.0
1684949730.3528209,37,-964605.0
1684949734.3403614,38,-962716.0
1684949738.2097867,39,-955407.0
1684949742.2762916,40,-963307.0
1684949746.2882712,41,-965613.0
1684949750.1349502,42,-992691.0
1684949754.2185283,43,-953305.0
1684949759.0701575,44,-945411.0
1684949763.0020995,45,-937309.0
1684949767.3630338,46,-955439.0
1684949771.705812,47,-980856.0
1684949776.1685069,48,-960775.0
1684949780.269223,49,-1000730.0
1684949784.717479,50,-999940.0
1684949788.71316,51,-976605.0
1684949792.8614683,52,-948198.0
1684949796.9233625,53,-965917.0
1684949800.9958243,54,-983427.0
1684949804.8483472,55,-986812.0
1684949808.5617535,56,-987331.0
1684949812.3802364,57,-991055.0
1684949816.4838753,58,-985168.0
1684949820.4099824,59,-1006376.0
1684949824.5734496,60,-989628.0
1684949829.3366132,61,-959265.0
1684949833.330038,62,-969330.0
1684949837.189535,63,-967181.0
1684949841.8000975,64,-977929.0
1684949845.567032,65,-980294.0
1684949849.4547265,66,-969246.0
1684949853.4685063,67,-952186.0
1684949857.136846,68,-1005984.0
1684949860.9340458,69,-968066.0
1684949864.9345858,70,-940925.0
1684949869.3299553,71,-982175.0
1684949873.3168745,72,-980526.0
1684949877.147491,73,-983007.0
1684949881.0631888,74,-985151.0
1684949885.318357,75,-994018.0
1684949890.6157749,76,-983994.0
1684949894.7348602,77,-944028.0
1684949898.9224494,78,-964760.0
1684949902.9701407,79,-961599.0
1684949908.0460896,80,-961446.0
1684949914.334956,81,-973393.0
1684949921.8667464,82,-961217.0
1684949926.2777514,83,-982372.0
1684949930.1489606,84,-967666.0
1684949934.4944465,85,-995453.0
1684949938.8833501,86,-989779.0
1684949942.966916,87,-957204.0
1684949947.1807415,88,-963130.0
1684949951.6809614,89,-988832.0
1684949955.8847425,90,-1000873.0
1684949960.002698,91,-985782.0
1684949964.2264366,92,-950612.0
1684949968.4705162,93,-993141.0
1684949972.6768603,94,-936034.0
1684949976.8259075,95,-981677.0
1684949981.1342661,96,-957958.0
1684949985.1698084,97,-968754.0
1684949989.0496457,98,-981252.0
1684949993.3576124,99,-996396.0
1684949997.7802494,100,-990779.0
1684950002.0633929,101,-999750.0
1684950006.16521,102,-990059.0
1684950010.3932064,103,-972071.0
1684950014.4105334,104,-990631.0
1684950018.3877673,105,-986882.0
1684950022.162595,106,-982173.0
1684950025.9519901,107,-1005748.0
1684950030.082535,108,-982821.0
1684950034.2122338,109,-977809.0
1684950038.1483293,110,-997435.0
1684950042.0191872,111,-976543.0
1684950045.8968945,112,-978336.0
1684950049.7685761,113,-969165.0
1684950053.614261,114,-948697.0
1684950057.4752402,115,-987439.0
1684950061.4181945,116,-996010.0
1684950065.3877225,117,-978123.0
1684950069.31134,118,-990356.0
1684950073.2352595,119,-959701.0
1684950077.1198325,120,-974087.0
1684950081.0083885,121,-958624.0
1684950084.893311,122,-990704.0
1684950088.7259972,123,-948809.0
1684950092.5730689,124,-977232.0
1684950096.4023957,125,-965005.0
1684950100.289709,126,-996405.0
1684950104.1515338,127,-978263.0
1684950108.0145416,128,-975708.0
1684950111.8961675,129,-963515.0
1684950115.7748618,130,-965855.0
1684950119.6850939,131,-976646.0
1684950123.5579545,132,-961595.0
1684950127.416129,133,-972693.0
1684950131.2832453,134,-985741.0
1684950135.2009673,135,-1002284.0
1684950139.092215,136,-982233.0
1684950142.9135118,137,-971622.0
1684950146.7729015,138,-987571.0
1684950150.618423,139,-985536.0
1684950154.4855447,140,-969075.0
1684950158.3571,141,-985871.0
1684950162.2203684,142,-962874.0
1684950166.0834656,143,-965815.0
1684950169.9342725,144,-985573.0
1684950173.7856472,145,-962221.0
1684950177.687955,146,-983197.0
1684950181.53993,147,-967615.0
1684950185.384718,148,-975772.0
1684950189.261921,149,-952671.0
1684950193.1067207,150,-982257.0
1684950197.003467,151,-965220.0
1684950200.8459399,152,-964396.0
1684950204.72021,153,-990180.0
1684950208.5531979,154,-984039.0
1684950212.389461,155,-968199.0
1684950216.2746654,156,-1000474.0
1684950220.1076639,157,-951024.0
1684950223.9143126,158,-969520.0
1684950227.7645226,159,-981552.0
1684950231.6055958,160,-969376.0
1684950235.4934003,161,-964393.0
1684950239.3281045,162,-982838.0
1684950243.241437,163,-978544.0
1684950247.3728645,164,-944961.0
1684950251.8730829,165,-976320.0
1684950256.3932343,166,-986807.0
1684950260.4319584,167,-976518.0
1684950264.5069258,168,-978963.0
1684950268.6833239,169,-997770.0
1684950272.7089846,170,-1009843.0
1684950276.7103412,171,-980841.0
1684950280.5093794,172,-960383.0
1684950284.2483296,173,-960173.0
1684950288.2878418,174,-985237.0
1684950292.1605685,175,-989830.0
1684950295.9948888,176,-959654.0
1684950299.8249164,177,-981493.0
1684950303.622684,178,-986429.0
1684950307.4511354,179,-1003402.0
1684950311.1872454,180,-989796.0
1684950315.2834446,181,-999986.0
1684950319.8713374,182,-978055.0
1684950323.8140845,183,-977860.0
1684950327.5725045,184,-950971.0
1684950331.6810267,185,-951855.0
1684950336.05445,186,-995545.0
1684950340.2116735,187,-971773.0
1684950344.246064,188,-961538.0
1684950348.3494666,189,-960320.0
1684950352.405411,190,-964705.0
1684950356.3710754,191,-989265.0
1684950360.3738437,192,-960454.0
1684950364.3317142,193,-988584.0
1684950368.3363082,194,-952577.0
1684950372.4500322,195,-959288.0
1684950376.6821628,196,-963645.0
1684950380.681988,197,-972055.0
1684950384.860068,198,-954608.0
1684950389.2561078,199,-1002673.0
1684950393.550726,200,-962900.0
1684950397.7942374,201,-975969.0
1684950401.6243203,202,-954370.0
1684950405.8092988,203,-974973.0
1684950410.5916402,204,-990630.0
1684950414.4698737,205,-984899.0
1684950418.3208876,206,-974113.0
1684950422.132034,207,-984134.0
1684950425.9799788,208,-974508.0
1684950429.8477516,209,-931877.0
1684950433.585415,210,-974557.0
1684950437.5397916,211,-968957.0
1684950441.6141405,212,-989025.0
1684950445.5793676,213,-968667.0
1684950449.9253573,214,-971761.0
1684950453.5190651,215,-964986.0
1684950457.3663714,216,-991559.0
1684950461.5816822,217,-935955.0
1684950465.9312139,218,-999525.0
1684950470.162042,219,-991934.0
1684950474.1183572,220,-999667.0
1684950478.0135438,221,-958337.0
1684950481.8163915,222,-969123.0
1684950485.9939723,223,-943205.0
1684950489.9025664,224,-956194.0
1684950493.726719,225,-1013900.0
1684950497.532919,226,-955079.0
1684950501.4428341,227,-972086.0
1684950505.3899887,228,-978630.0
