Wall time,Step,Value
1682968725.4029236,0,-1085099.0
1682968788.2007267,1,-1078470.0
1682968850.349749,2,-1052621.0
1682968913.901661,3,-1065330.0
1682968976.9611905,4,-1088225.0
1682969039.5162802,5,-1065106.0
1682969104.2642639,6,-1070736.0
1682969168.4754457,7,-1090550.0
1682969232.7470896,8,-1081773.0
1682969295.51191,9,-1071600.0
1682969360.5608459,10,-1056862.0
1682969426.6669436,11,-1029702.0
1682969510.5867288,12,-1069284.0
1682969621.0672228,13,-1061250.0
1682969727.2832375,14,-1115489.0
1682969831.151248,15,-1086240.0
1682969935.6836154,16,-1029702.0
1682970040.0413764,17,-1069284.0
1682970141.310261,18,-1061250.0
1682970239.931403,19,-1115489.0
1682970282.0414057,20,-1086240.0
1682970324.6219606,21,-1029702.0
1682970367.6233158,22,-1069284.0
1682970410.7283258,23,-1061250.0
1682970454.2542171,24,-1115489.0
1682970498.271125,25,-1086240.0
1682970542.2772179,26,-1029702.0
1682970586.123692,27,-1069284.0
1682970630.0486372,28,-1061250.0
1682970674.1794655,29,-1115489.0
1682970718.2744946,30,-1086240.0
1682970762.331424,31,-1029702.0
1682970806.7332106,32,-1069284.0
1682970851.0359633,33,-1061250.0
1682970896.3587563,34,-1115489.0
1682970941.021585,35,-1086240.0
1682970985.5289981,36,-1029702.0
1682971030.1122768,37,-1069284.0
1682971074.7436497,38,-1061250.0
1682971119.443801,39,-1115489.0
1682971164.569275,40,-1086240.0
1682971211.9038682,41,-1029702.0
1682971258.7883885,42,-1069284.0
1682971304.178811,43,-1061250.0
1682971349.3211336,44,-1115489.0
1682971393.5379686,45,-1086240.0
1682971439.0382824,46,-1029702.0
1682971484.3098404,47,-1069284.0
1682971535.2749097,48,-1061250.0
1682971590.7127082,49,-1115489.0
1682971645.4421055,50,-1086240.0
1682971700.5612676,51,-1029702.0
1682971756.4498904,52,-1069284.0
1682971811.207394,53,-1061250.0
1682971865.3002856,54,-1115489.0
1682971919.539334,55,-1086240.0
1682971975.0816607,56,-1029702.0
1682972031.458588,57,-1069284.0
1682972087.4448297,58,-1061250.0
1682972142.36857,59,-1115489.0
1682972197.0382185,60,-1086240.0
1682972251.4758809,61,-1029702.0
1682972306.4020078,62,-1069284.0
1682972360.7408388,63,-1061250.0
1682972415.6471057,64,-1115489.0
1682972470.2017703,65,-1086240.0
1682972524.5697658,66,-1029702.0
1682972578.9604237,67,-1069284.0
1683008544.0773363,68,-1061250.0
1683008614.9239175,69,-1115489.0
1683008683.7750366,70,-1086240.0
1683008753.6931188,71,-1029702.0
1683008825.7086427,72,-1069284.0
1683008896.2562132,73,-1061250.0
1683008970.4814765,74,-1115489.0
1683009045.6355705,75,-1086240.0
1683009117.6003273,76,-1029702.0
1683009189.2523396,77,-1069284.0
1683009259.3452578,78,-1061250.0
1683009329.343868,79,-1115489.0
1683009401.4302976,80,-1086240.0
1683009474.799477,81,-1029702.0
1683009545.9590673,82,-1069284.0
1683009616.142189,83,-1061250.0
1683009687.06422,84,-1115489.0
1683009756.9898953,85,-1086240.0
1683009827.2129264,86,-1029702.0
1683009897.5503595,87,-1069284.0
1683009967.705331,88,-1061250.0
1683010038.0478892,89,-1115489.0
1683010111.1620674,90,-1086240.0
1683010175.1748621,91,-1029702.0
1683010226.7169733,92,-1069284.0
1683010278.6810539,93,-1061250.0
1683010330.9050794,94,-1115489.0
1683010387.3269937,95,-1086240.0
1683010439.9833071,96,-1029702.0
1683010492.919853,97,-1069284.0
1683010545.139265,98,-1061250.0
1683010598.0296512,99,-1115489.0
