Wall time,Step,Value
1680826062.1591542,0,-859.3321533203125
1680826070.7141082,1,-868.7809448242188
1680826079.317392,2,-936.7310180664062
1680826089.949292,3,-890.0346069335938
1680826099.6792796,4,-901.66796875
1680826109.3385324,5,-907.4430541992188
1680826119.0995538,6,-926.1002197265625
1680826128.3864546,7,-905.396240234375
1680826138.2744863,8,-892.9512329101562
1680826147.8243272,9,-913.7152099609375
1680826157.1144457,10,-920.3223266601562
1680826166.1343315,11,-919.3321533203125
1680826175.3884873,12,-933.087646484375
1680826184.5974784,13,-894.8180541992188
1680826193.9202287,14,-918.6954956054688
1680826203.9641705,15,-927.5155639648438
1680826213.5545676,16,-894.6785888671875
1680826222.9344296,17,-904.0983276367188
1680826232.6692696,18,-920.7719116210938
1680826242.1507215,19,-889.5384521484375
1680826251.7464345,20,-885.6244506835938
1680826261.0283678,21,-916.42626953125
1680826270.4007003,22,-879.8314208984375
1680826280.0953703,23,-912.3453979492188
1680826289.789605,24,-920.0684204101562
1680826299.6884453,25,-905.1046142578125
1680826309.7557335,26,-890.4813232421875
1680826319.8343058,27,-914.2410278320312
1680826330.2144842,28,-870.905517578125
1680826339.934272,29,-936.4266357421875
1680826351.6843336,30,-862.7291870117188
1680826361.5042944,31,-917.3429565429688
1680826371.0693617,32,-908.9494018554688
1680826382.8146846,33,-903.6324462890625
1680826394.2189345,34,-895.023193359375
1680826404.484494,35,-909.4251098632812
1680826414.5504978,36,-886.120361328125
1680826424.914518,37,-922.462890625
1680826435.1897757,38,-899.81640625
1680826446.1843143,39,-912.4467163085938
1680826455.6915064,40,-926.4465942382812
1680826466.7746658,41,-893.6094970703125
1680826478.900547,42,-934.6837158203125
1680826489.6194043,43,-905.54638671875
1680826499.6986542,44,-904.9954223632812
1680826509.900787,45,-911.5933837890625
1680826520.1743662,46,-909.3760986328125
1680826530.7946439,47,-879.77490234375
1680826541.7198,48,-895.745361328125
1680826553.991131,49,-926.6338500976562
1680826564.7248282,50,-888.9288940429688
1680826575.3544376,51,-886.52001953125
1680826585.4347427,52,-946.7645874023438
1680826596.0877848,53,-922.3057250976562
1680826606.565572,54,-905.2974853515625
1680826616.9808972,55,-903.4061889648438
1680826627.6347814,56,-901.8599853515625
1680826638.5645862,57,-915.537353515625
1680826650.2067533,58,-898.1261596679688
1680826661.5046196,59,-910.9954223632812
1680826672.727537,60,-884.4383544921875
1680826684.074827,61,-914.224609375
1680826694.6795328,62,-956.2788696289062
1680826705.869887,63,-882.3256225585938
1680826717.964848,64,-890.8541870117188
1680826728.4845402,65,-923.3028564453125
1680826739.474763,66,-836.56201171875
1680826750.0975895,67,-892.6574096679688
1680826761.0446448,68,-893.8186645507812
1680826770.9596245,69,-906.7216796875
1680826781.1599367,70,-887.346923828125
1680826793.06803,71,-898.2379760742188
1680826804.1948097,72,-868.855712890625
1680826815.2946575,73,-904.1676025390625
1680826825.2045825,74,-914.0489501953125
1680826835.1248229,75,-952.8011474609375
1680826845.0696695,76,-894.4078979492188
