Wall time,Step,Value
1680825998.0942662,0,-234.19500732421875
1680826002.0891747,1,-229.78599548339844
1680826006.1989183,2,-248.3249969482422
1680826011.794145,3,-243.4340057373047
1680826016.638649,4,-237.51499938964844
1680826020.8593462,5,-250.93099975585938
1680826025.3541431,6,-243.0659942626953
1680826029.739171,7,-240.52000427246094
1680826034.024192,8,-235.44700622558594
1680826038.4241092,9,-245.18600463867188
1680826042.8443592,10,-257.35400390625
1680826047.74449,11,-244.58900451660156
1680826053.9445593,12,-236.40499877929688
1680826062.3641462,13,-232.90699768066406
1680826070.4591494,14,-246.04600524902344
1680826078.5755367,15,-249.3159942626953
1680826088.494118,16,-235.07699584960938
1680826098.044181,17,-238.9080047607422
1680826107.2313895,18,-242.36199951171875
1680826116.1195812,19,-244.1320037841797
1680826125.374401,20,-235.09500122070312
1680826134.5863981,21,-235.19700622558594
1680826143.4146,22,-243.80999755859375
1680826152.3195386,23,-235.5229949951172
1680826160.8464973,24,-236.21499633789062
1680826169.5243592,25,-245.97300720214844
1680826178.2043993,26,-231.74000549316406
1680826186.8592453,27,-252.947998046875
1680826195.684145,28,-232.96499633789062
1680826205.17836,29,-242.60699462890625
1680826214.2106209,30,-241.05599975585938
1680826223.04463,31,-241.8300018310547
1680826232.1944084,32,-247.62399291992188
1680826241.0973153,33,-235.23899841308594
1680826250.0356297,34,-230.3489990234375
1680826258.8495605,35,-242.17100524902344
1680826267.5844004,36,-245.44400024414062
1680826276.4843445,37,-242.125
1680826285.6346776,38,-240.03700256347656
1680826294.8353775,39,-242.07000732421875
1680826304.4293303,40,-246.91799926757812
1680826313.7373455,41,-247.47300720214844
1680826323.8295536,42,-252.822998046875
1680826332.9184208,43,-236.66799926757812
1680826342.0275762,44,-233.95799255371094
1680826353.1744153,45,-235.84500122070312
1680826362.4314826,46,-243.55099487304688
1680826371.38734,47,-227.38800048828125
1680826382.3086364,48,-230.7220001220703
1680826393.3555021,49,-233.77099609375
1680826403.059632,50,-237.9929962158203
1680826412.4968185,51,-234.14599609375
1680826422.2047024,52,-246.8560028076172
1680826431.8264759,53,-250.36500549316406
1680826442.0594993,54,-247.77499389648438
1680826451.1245985,55,-250.35400390625
1680826460.234538,56,-242.46200561523438
1680826471.4595642,57,-243.92300415039062
1680826482.4424853,58,-242.8509979248047
1680826492.505822,59,-232.14599609375
1680826502.04674,60,-245.58299255371094
1680826511.5555093,61,-252.81700134277344
1680826521.2193463,62,-245.67599487304688
1680826531.2545195,63,-246.39300537109375
1680826541.4447174,64,-231.48199462890625
1680826553.1393886,65,-241.66099548339844
1680826563.2298393,66,-225.45399475097656
1680826573.1947145,67,-245.0590057373047
1680826582.6767385,68,-239.02000427246094
1680826592.7794545,69,-242.76199340820312
1680826602.6346312,70,-233.21299743652344
1680826612.4499319,71,-255.8489990234375
1680826622.3294332,72,-239.70899963378906
1680826632.524399,73,-237.14599609375
1680826642.6647282,74,-246.06700134277344
1680826653.9692166,75,-246.50799560546875
1680826664.4546154,76,-235.46800231933594
1680826675.4575436,77,-275.89300537109375
1680826685.6795123,78,-243.35000610351562
1680826695.6928916,79,-243.8209991455078
1680826706.2175622,80,-251.19900512695312
1680826717.6459236,81,-244.67999267578125
1680826727.5997875,82,-250.59100341796875
1680826737.7549756,83,-245.552001953125
1680826747.8147316,84,-243.24600219726562
1680826758.0748203,85,-252.81300354003906
1680826767.7620952,86,-245.09800720214844
1680826777.3825068,87,-251.13099670410156
1680826787.1345277,88,-223.85899353027344
1680826799.159714,89,-245.27499389648438
1680826808.7045395,90,-243.12399291992188
1680826819.2296023,91,-240.13999938964844
1680826828.4349122,92,-236.1959991455078
1680826837.8551357,93,-240.2550048828125
1680826847.4345825,94,-243.3939971923828
