Wall time,Step,Value
1680826091.3578153,0,-655.0542602539062
1680826100.909151,1,-706.8866577148438
1680826110.1895936,2,-723.7542724609375
1680826119.664145,3,-690.8403930664062
1680826128.6341708,4,-742.59228515625
1680826138.2095244,5,-711.6060180664062
1680826147.5224402,6,-717.832763671875
1680826156.4892147,7,-708.7744750976562
1680826165.2574928,8,-709.8197021484375
1680826174.2092202,9,-708.148681640625
1680826183.2483222,10,-708.6818237304688
1680826192.2355711,11,-720.53857421875
1680826201.7114105,12,-708.3001098632812
1680826211.204614,13,-689.036865234375
1680826220.2443602,14,-701.3384399414062
1680826229.766574,15,-717.960205078125
1680826238.9695923,16,-686.7115478515625
1680826248.199316,17,-710.6337890625
1680826257.2045732,18,-705.0059204101562
1680826266.176417,19,-680.18017578125
1680826275.4393878,20,-665.5521240234375
1680826284.765368,21,-714.664794921875
1680826294.2565112,22,-692.8687744140625
1680826303.9967678,23,-679.0286865234375
1680826313.6648755,24,-716.5986328125
1680826324.1244617,25,-706.0654296875
1680826333.463406,26,-657.5577392578125
1680826343.0987804,27,-746.918701171875
1680826354.2095516,28,-679.9400024414062
1680826363.6723614,29,-691.3356323242188
1680826373.1165686,30,-714.6915893554688
1680826384.9642699,31,-720.8438720703125
1680826395.6126034,32,-719.194091796875
1680826405.4444664,33,-691.3743286132812
1680826415.2842636,34,-699.1376953125
1680826425.3365712,35,-719.9960327148438
1680826435.234537,36,-693.2728881835938
1680826445.8773956,37,-697.4585571289062
1680826455.1537392,38,-708.1954956054688
1680826465.6717446,39,-684.7689819335938
1680826477.5666752,40,-692.852783203125
1680826488.100773,41,-725.0413818359375
1680826497.9796214,42,-711.9548950195312
1680826507.9907339,43,-679.3231201171875
1680826517.9147406,44,-682.3755493164062
1680826528.2254672,45,-700.92333984375
1680826538.6747873,46,-703.1333618164062
1680826550.6851664,47,-672.3246459960938
1680826561.3098264,48,-674.3802490234375
1680826571.6845596,49,-698.61669921875
1680826581.6345115,50,-704.16455078125
1680826591.955785,51,-693.2167358398438
1680826602.0897236,52,-728.4630126953125
1680826612.2197347,53,-716.6179809570312
1680826622.4768732,54,-720.3279418945312
1680826633.0947118,55,-713.0545043945312
1680826643.8248234,56,-689.57080078125
1680826655.345599,57,-701.39013671875
1680826666.3725824,58,-719.0343627929688
1680826677.7546527,59,-696.4555053710938
1680826688.1687717,60,-707.4476928710938
1680826698.434625,61,-696.8477172851562
1680826709.8375995,62,-717.9435424804688
1680826721.3360257,63,-705.5643310546875
1680826731.489527,64,-679.3443603515625
1680826742.204815,65,-688.4249267578125
1680826752.69978,66,-665.3626098632812
1680826763.2878108,67,-723.2747802734375
1680826773.4695592,68,-687.8590698242188
1680826782.9893734,69,-696.8255615234375
1680826795.6946898,70,-705.6922607421875
1680826805.9178047,71,-707.64892578125
1680826816.9246476,72,-683.3111572265625
1680826826.4595194,73,-704.0209350585938
1680826836.2245688,74,-708.1060180664062
1680826846.0748777,75,-701.0936279296875
1680826854.5448685,76,-703.6729736328125
