Wall time,Step,Value
1682972307.4598234,0,-457.4638671875
1683009136.9037554,1,-434.7508850097656
1683010144.595411,2,-481.6490783691406
1683010823.4831626,3,-463.7220153808594
1683011354.5791366,4,-465.1235656738281
1683011871.5134423,5,-380.9759521484375
1683012374.760917,6,-499.5558776855469
1683012884.6446183,7,-468.5329895019531
1683013387.8026123,8,-440.0903015136719
1683013889.3885212,9,-463.7220153808594
1683014390.6223621,10,-465.1235656738281
1683014892.9686668,11,-380.9759521484375
1683015421.0613322,12,-499.5558776855469
1683016012.612785,13,-468.5329895019531
1683016648.4357486,14,-440.0903015136719
1683017285.2975693,15,-463.7220153808594
1683017917.6716177,16,-465.1235656738281
1683018550.9710848,17,-380.9759521484375
1683019187.268083,18,-499.5558776855469
1683019774.2188387,19,-468.5329895019531
1683020279.4924724,20,-440.0903015136719
1683020791.528755,21,-463.7220153808594
1683021294.8731668,22,-465.1235656738281
1683021798.9972005,23,-380.9759521484375
1683022303.0536458,24,-499.5558776855469
1683022805.810392,25,-468.5329895019531
1683023308.5912545,26,-440.0903015136719
1683023810.341558,27,-463.7220153808594
1683024372.1032605,28,-465.1235656738281
1683025011.3591964,29,-380.9759521484375
1683025648.2000046,30,-499.5558776855469
1683026293.8915384,31,-468.5329895019531
1683026928.426038,32,-440.0903015136719
1683027563.6305768,33,-463.7220153808594
1683028196.7818918,34,-465.1235656738281
1683028705.9968858,35,-380.9759521484375
1683029235.6606648,36,-499.5558776855469
1683029745.0000308,37,-468.5329895019531
1683030250.2166831,38,-440.0903015136719
1683030753.3410432,39,-463.7220153808594
1683031264.9197915,40,-465.1235656738281
1683031787.3724613,41,-380.9759521484375
1683032439.955616,42,-499.5558776855469
1683033076.6975458,43,-468.5329895019531
1683046278.3524065,44,-440.0903015136719
1683046911.674707,45,-463.7220153808594
1683047574.5723183,46,-465.1235656738281
1683048228.7883143,47,-380.9759521484375
1683048750.3754823,48,-499.5558776855469
1683049271.2304668,49,-468.5329895019531
1683049798.644425,50,-440.0903015136719
1683050436.9079168,51,-463.7220153808594
1683051090.5116956,52,-465.1235656738281
1683051596.20234,53,-380.9759521484375
1683052101.0866954,54,-499.5558776855469
1683052603.3615665,55,-468.5329895019531
1683053107.1128397,56,-440.0903015136719
1683053608.5264869,57,-463.7220153808594
1683054174.7746875,58,-465.1235656738281
1683054821.1464274,59,-380.9759521484375
1683055457.5430427,60,-499.5558776855469
1683056094.95616,61,-468.5329895019531
1683056728.3367946,62,-440.0903015136719
1683057360.4184983,63,-463.7220153808594
1683058017.5719965,64,-465.1235656738281
1683058517.0274105,65,-380.9759521484375
1683059027.3399408,66,-499.5558776855469
1683059530.623993,67,-468.5329895019531
1683060033.4411278,68,-440.0903015136719
1683060535.1274776,69,-463.7220153808594
1683061060.1576703,70,-465.1235656738281
1683090222.5219815,71,-380.9759521484375
1683090854.229362,72,-499.5558776855469
1683091488.6395013,73,-468.5329895019531
1683092124.025448,74,-440.0903015136719
1683133568.4170504,75,-463.7220153808594
1683134241.514668,76,-465.1235656738281
1683134781.0467992,77,-380.9759521484375
1683135317.241488,78,-499.5558776855469
1683135851.5979369,79,-468.5329895019531
1683136378.7739763,80,-440.0903015136719
1683136906.9052732,81,-463.7220153808594
1683137435.446465,82,-465.1235656738281
1683138040.0446217,83,-380.9759521484375
1683138690.3862026,84,-499.5558776855469
1683139340.2760494,85,-468.5329895019531
1683139988.2239506,86,-440.0903015136719
1683140681.0853431,87,-463.7220153808594
1683141255.258761,88,-465.1235656738281
1683141837.9022,89,-380.9759521484375
1683142419.9510717,90,-499.5558776855469
1683143130.5274224,91,-468.5329895019531
1683143905.758493,92,-440.0903015136719
1683144680.110322,93,-463.7220153808594
1683145434.1516407,94,-465.1235656738281
1683146003.7666345,95,-380.9759521484375
1683146585.292605,96,-499.5558776855469
1683179755.9213753,97,-468.5329895019531
1683180316.3891976,98,-440.0903015136719
1683180876.230598,99,-463.7220153808594
