Wall time,Step,Value
1680513596.249787,0,-406.44573974609375
1680513662.3337867,1,-417.2398681640625
1680513729.4389045,2,-387.652587890625
1680513796.3467402,3,-399.7838439941406
1680513865.3657691,4,-414.3905944824219
1680513934.5847516,5,-391.0682067871094
1680513999.786856,6,-411.65081787109375
1680514064.605606,7,-406.9419860839844
1680514129.6240036,8,-384.7810974121094
1680514192.6067512,9,-399.4002685546875
1680514254.279769,10,-404.5628967285156
1680514318.2998717,11,-411.9525451660156
1680514379.704692,12,-384.7810974121094
1680514440.389609,13,-399.4002685546875
1680514506.0960326,14,-404.5628967285156
1680514567.0663707,15,-411.9525451660156
1680514634.2124867,16,-384.7810974121094
1680514703.034976,17,-399.4002685546875
1680514766.5486948,18,-404.5628967285156
1680514828.8786743,19,-411.9525451660156
1680514891.2627208,20,-384.7810974121094
1680514952.0795,21,-399.4002685546875
1680515012.9639235,22,-404.5628967285156
1680515075.5672019,23,-411.9525451660156
1680515135.1747403,24,-384.7810974121094
1680515189.2557576,25,-399.4002685546875
1680515245.6266985,26,-404.5628967285156
1680515301.024145,27,-411.9525451660156
1680515355.4703486,28,-384.7810974121094
1680515410.1264012,29,-399.4002685546875
1680515464.797693,30,-404.5628967285156
1680515519.2624383,31,-411.9525451660156
1680515573.233938,32,-384.7810974121094
1680515627.3725033,33,-399.4002685546875
1680515684.036344,34,-404.5628967285156
1680515738.834136,35,-411.9525451660156
1680515798.3421023,36,-384.7810974121094
1680515862.4568186,37,-399.4002685546875
1680515923.4507682,38,-404.5628967285156
1680515983.9514043,39,-411.9525451660156
1680516045.248168,40,-384.7810974121094
1680516108.3968658,41,-399.4002685546875
1680516172.2871704,42,-404.5628967285156
1680516231.8803494,43,-411.9525451660156
1680516293.117227,44,-384.7810974121094
1680516353.366068,45,-399.4002685546875
1680516413.045158,46,-404.5628967285156
1680516472.875221,47,-411.9525451660156
1680516532.26189,48,-384.7810974121094
1680516592.125495,49,-399.4002685546875
1680516654.3358347,50,-404.5628967285156
1680516713.3312607,51,-411.9525451660156
1680516773.498869,52,-384.7810974121094
1680516831.0701473,53,-399.4002685546875
1680516889.848607,54,-404.5628967285156
1680516947.69317,55,-411.9525451660156
1680517002.902005,56,-384.7810974121094
1680517057.917832,57,-399.4002685546875
1680517121.4024453,58,-404.5628967285156
1680517191.1087532,59,-411.9525451660156
1680517260.517473,60,-384.7810974121094
1680517330.0349905,61,-399.4002685546875
1680517399.8076487,62,-404.5628967285156
1680517469.1241884,63,-411.9525451660156
1680517539.790883,64,-384.7810974121094
1680517610.0366745,65,-399.4002685546875
1680517680.2964542,66,-404.5628967285156
1680517750.787349,67,-411.9525451660156
1680517821.8957098,68,-384.7810974121094
1680517895.3530207,69,-399.4002685546875
1680517968.2838743,70,-404.5628967285156
1680518037.6580918,71,-411.9525451660156
