Wall time,Step,Value
1680880306.700662,0,-741.7958374023438
1680880402.2714963,1,-735.090087890625
1680880496.7997842,2,-741.017578125
1680880597.1861103,3,-718.76513671875
1680880687.3786998,4,-769.2428588867188
1680880792.3223364,5,-723.1659545898438
1680880890.7413197,6,-736.2509765625
1680880988.6933236,7,-718.5811767578125
1680881082.0113904,8,-724.01220703125
1680881174.7862427,9,-727.3502197265625
1680881272.5350392,10,-749.3998413085938
1680881361.6963406,11,-756.49755859375
1680881461.680981,12,-707.6735229492188
1680881564.51877,13,-746.3990478515625
1680881662.64421,14,-714.3646240234375
1680881759.414038,15,-710.12158203125
1680881841.3553267,16,-731.3665771484375
1680881923.9563746,17,-707.6342163085938
1680882009.2671397,18,-724.1804809570312
1680882094.695722,19,-748.9761962890625
1680882184.2274542,20,-725.1382446289062
1680882287.1526601,21,-730.0907592773438
1680882388.3532927,22,-737.0308227539062
1680882474.236675,23,-742.4467163085938
1680882547.074449,24,-703.5030517578125
1680882627.615284,25,-727.3502197265625
1680882700.6953185,26,-749.3998413085938
1680882773.4243476,27,-756.49755859375
1680882845.6032126,28,-707.6735229492188
1680882917.7050283,29,-746.3990478515625
1680882989.0956676,30,-714.3646240234375
1680883061.0116544,31,-710.12158203125
1680883132.0908756,32,-731.3665771484375
1680883203.4944208,33,-707.6342163085938
1680883274.859696,34,-724.1804809570312
1680883346.072929,35,-748.9761962890625
1680883417.9332738,36,-725.1382446289062
1680883499.6876993,37,-730.0907592773438
1680883585.8998146,38,-737.0308227539062
1680883671.3240855,39,-742.4467163085938
1680883760.7502022,40,-703.5030517578125
1680883845.452593,41,-727.3502197265625
1680883931.1925862,42,-749.3998413085938
1680884020.7047937,43,-756.49755859375
1680884098.7120981,44,-707.6735229492188
1680884175.0040257,45,-746.3990478515625
1680884254.242746,46,-714.3646240234375
1680884327.186367,47,-710.12158203125
1680884410.1198392,48,-731.3665771484375
1680884488.1410093,49,-707.6342163085938
1680884560.7300656,50,-724.1804809570312
1680884632.7157438,51,-748.9761962890625
1680884706.1217833,52,-725.1382446289062
1680884778.9345846,53,-730.0907592773438
1680884852.1676643,54,-737.0308227539062
