Wall time,Step,Value
1680905354.2599206,0,-991.4243774414062
1680905429.5732133,1,-1012.8880004882812
1680905505.7303243,2,-994.5090942382812
1680905619.462205,3,-968.5615844726562
1680905698.0653155,4,-973.27099609375
1680905786.6471395,5,-1000.1580200195312
1680905882.2704663,6,-1006.1412963867188
1680905996.634691,7,-1000.867919921875
1680906103.2664652,8,-969.8449096679688
1680906223.994257,9,-976.599365234375
1680906361.6030478,10,-986.8287353515625
1680906485.069115,11,-1000.1580200195312
1680906603.6797137,12,-1006.1412963867188
1680906728.1676242,13,-1000.867919921875
1680906857.1634796,14,-969.8449096679688
1680906974.7879632,15,-976.599365234375
1680907075.779061,16,-986.8287353515625
1680907172.999584,17,-1000.1580200195312
1680907269.4559584,18,-1006.1412963867188
1680907364.995425,19,-1000.867919921875
1680907454.7905102,20,-969.8449096679688
1680907542.1282,21,-976.599365234375
1680907621.7203593,22,-986.8287353515625
1680907705.1073153,23,-1000.1580200195312
1680964828.918696,24,-1006.1412963867188
1680964913.3252554,25,-1000.867919921875
1680964987.0006592,26,-969.8449096679688
1680965068.539459,27,-976.599365234375
1680965162.2372859,28,-986.8287353515625
1680965240.3089254,29,-1000.1580200195312
1680965318.3668113,30,-1006.1412963867188
1680965396.4404082,31,-1000.867919921875
1680965474.7752774,32,-969.8449096679688
1680965559.9158869,33,-976.599365234375
1680965638.2172108,34,-986.8287353515625
1680965716.9081988,35,-1000.1580200195312
1680965806.1782227,36,-1006.1412963867188
1680966406.1856022,37,-1000.867919921875
1680966497.880254,38,-969.8449096679688
1680966577.9853582,39,-976.599365234375
1680966658.3029385,40,-986.8287353515625
1680966739.8442779,41,-1000.1580200195312
1680966822.6947224,42,-1006.1412963867188
1680966903.8780942,43,-1000.867919921875
1680966993.667341,44,-969.8449096679688
1680967077.8406723,45,-976.599365234375
1680967159.452161,46,-986.8287353515625
1680967240.8110936,47,-1000.1580200195312
1680967324.3330314,48,-1006.1412963867188
1680967405.676623,49,-1000.867919921875
1680967487.702661,50,-969.8449096679688
1680967571.4049911,51,-976.599365234375
1680967654.2415833,52,-986.8287353515625
1680967737.6353734,53,-1000.1580200195312
1680967821.1989336,54,-1006.1412963867188
1680967916.9327269,55,-1000.867919921875
1680968021.7329743,56,-969.8449096679688
1680968112.9533134,57,-976.599365234375
1680968210.1777189,58,-986.8287353515625
1680968297.89057,59,-1000.1580200195312
1680968392.4466112,60,-1006.1412963867188
1680968497.3314824,61,-1000.867919921875
1680968599.2949195,62,-969.8449096679688
1680968706.0778878,63,-976.599365234375
1680968812.31186,64,-986.8287353515625
1680968902.8713813,65,-1000.1580200195312
1680968994.8966448,66,-1006.1412963867188
1680969081.1543992,67,-1000.867919921875
1680969176.7857063,68,-969.8449096679688
1680969270.3020864,69,-976.599365234375
1680969353.800684,70,-986.8287353515625
1680969438.1782403,71,-1000.1580200195312
1680969535.3446026,72,-1006.1412963867188
1680969633.0860417,73,-1000.867919921875
1680969738.0298107,74,-969.8449096679688
1680969831.1631577,75,-976.599365234375
1680969931.35044,76,-986.8287353515625
1680970041.603297,77,-1000.1580200195312
1680970153.7947934,78,-1006.1412963867188
1680970269.9130971,79,-1000.867919921875
1680991857.6865652,80,-969.8449096679688
1680991992.2553697,81,-976.599365234375
1680992090.10609,82,-986.8287353515625
1680992178.1394734,83,-1000.1580200195312
1680992261.9342175,84,-1006.1412963867188
1680992342.3514292,85,-1000.867919921875
1680992424.3501873,86,-969.8449096679688
1680992506.0192943,87,-976.599365234375
1680992586.329995,88,-986.8287353515625
1680992668.156238,89,-1000.1580200195312
1680992749.8717728,90,-1006.1412963867188
1680992856.1734283,91,-1000.867919921875
1680992947.4698257,92,-969.8449096679688
1680993036.5080063,93,-976.599365234375
1680993118.1244574,94,-986.8287353515625
1680993209.2514014,95,-1000.1580200195312
1680993289.3040216,96,-1006.1412963867188
1680993369.95049,97,-1000.867919921875
1680993449.5901637,98,-969.8449096679688
1680993527.4292297,99,-976.599365234375
1680993631.2937763,100,-986.8287353515625
1680993729.9887471,101,-1000.1580200195312
1680993818.4572244,102,-1006.1412963867188
1680993925.2320588,103,-1000.867919921875
1680994033.2689285,104,-969.8449096679688
1680994143.5212662,105,-976.599365234375
1680997680.2360332,106,-986.8287353515625
1680997778.09118,107,-1000.1580200195312
1680997896.59019,108,-1006.1412963867188
1680998009.1500814,109,-1000.867919921875
1680998112.6905427,110,-969.8449096679688
1680998223.9315085,111,-976.599365234375
1680998336.5486763,112,-986.8287353515625
1680998438.280359,113,-1000.1580200195312
1680998553.3013809,114,-1006.1412963867188
1680998658.920607,115,-1000.867919921875
1680998763.3334558,116,-969.8449096679688
1680998873.7236385,117,-976.599365234375
1680998983.0447252,118,-986.8287353515625
1680999103.790887,119,-1000.1580200195312
1680999218.0312872,120,-1006.1412963867188
1680999331.7857783,121,-1000.867919921875
1680999456.5396683,122,-969.8449096679688
1680999581.9994328,123,-976.599365234375
1680999701.9047968,124,-986.8287353515625
1680999820.6484756,125,-1000.1580200195312
1680999951.6715832,126,-1006.1412963867188
1681000087.9088042,127,-1000.867919921875
1681000208.0474455,128,-969.8449096679688
