Wall time,Step,Value
1681312860.890056,5,-523.50146484375
1681312864.795325,6,-503.9256591796875
1681312881.0298834,10,-505.7840576171875
1681312885.1362636,11,-490.7842102050781
1681312892.9892917,13,-486.78472900390625
1681312896.7387445,14,-485.69879150390625
1681312900.5061848,15,-501.76068115234375
1681312912.185856,18,-492.61767578125
1681312916.3970976,19,-497.921142578125
1681312920.3459206,20,-492.31005859375
1681312935.5658145,24,-511.9213562011719
1681312970.5977015,33,-478.72430419921875
1681312974.6337047,34,-480.4010314941406
1681312982.467257,36,-486.47906494140625
1681312997.5813613,40,-498.88360595703125
1681313005.4573748,42,-512.7179565429688
1681313013.3262396,44,-486.3084411621094
1681313017.0162826,45,-505.2547912597656
1681313024.4812236,47,-484.9371643066406
1681313032.1118612,49,-488.8517150878906
1681313036.1886241,50,-483.7519836425781
1681313047.732878,53,-496.90533447265625
1681313051.4374204,54,-504.3625183105469
1681313055.1760635,55,-512.3931274414062
1681313059.0673907,56,-481.2065124511719
1681313062.8478518,57,-515.3357543945312
1681313078.4962707,61,-516.531494140625
1681313086.0921724,63,-511.5890808105469
1681313093.896242,65,-507.12872314453125
1681313097.9122095,66,-491.3805847167969
1681313101.6460323,67,-514.035888671875
1681313105.4513352,68,-490.9797058105469
1681313116.6864548,71,-494.15380859375
1681313120.3860707,72,-505.31939697265625
1681313124.259686,73,-487.12078857421875
1681313127.977975,74,-512.0917358398438
1681313148.602162,79,-513.9711303710938
1681313172.656345,84,-479.9894714355469
1681313177.7361834,85,-524.8541870117188
1681313182.2761672,86,-497.75634765625
1681313186.9842184,87,-494.0893249511719
1681313191.3162267,88,-472.0140075683594
1681313195.8913333,89,-528.46484375
1681313218.080271,94,-523.69189453125
1681313252.175955,102,-508.7998046875
1681313265.0621884,105,-518.858154296875
1681313268.9205627,106,-521.7307739257812
1681313298.6600716,113,-488.2127380371094
1681313310.9910307,116,-497.4313659667969
1681313319.536021,118,-511.12042236328125
1681313323.5664785,119,-503.68365478515625
1681313327.6896522,120,-485.6950988769531
1681313343.994212,124,-488.99969482421875
1681313348.0427523,125,-515.337890625
1681313352.0576513,126,-510.9784851074219
1681313364.2260509,129,-499.44415283203125
1681313368.2528236,130,-488.8921203613281
1681313396.7864103,137,-491.8056945800781
1681313404.8494914,139,-511.7427978515625
1681313412.9661953,141,-489.716552734375
1681313416.9613073,142,-505.24444580078125
1681313421.1312432,143,-505.93743896484375
1681313425.1764624,144,-493.0937194824219
1681313441.3487687,148,-499.3625793457031
1681313449.6664274,150,-505.90130615234375
1681313461.8027725,153,-475.9341125488281
1681313469.7865152,155,-492.0390625
1681313478.0764031,157,-488.5838928222656
1681313482.121543,158,-486.9793701171875
1681313486.142378,159,-497.0464172363281
1681313498.4221718,162,-506.0368957519531
1681313506.512775,164,-477.5132751464844
1681313510.5475676,165,-487.1571960449219
1681313518.8063474,167,-508.9193115234375
1681313522.9011793,168,-505.16400146484375
1681313535.7066312,171,-517.0914916992188
1681313556.2015536,176,-505.3671569824219
1681313560.3227453,177,-493.7138977050781
1681313564.3711371,178,-508.9953918457031
1681313572.7593887,180,-485.68170166015625
1681313585.1604815,183,-492.5459899902344
1681313593.3091693,185,-487.6858215332031
1681313597.4161932,186,-501.93084716796875
1681313608.9924006,188,-506.26214599609375
1681313619.2864592,190,-537.3160400390625
1681313623.606331,191,-496.9477233886719
1681313654.416327,198,-489.636962890625
1681313688.3063493,206,-505.4828186035156
1681313692.4394445,207,-489.59564208984375
1681313696.5278327,208,-492.835205078125
1681313713.127701,212,-487.9338073730469
1681313725.4066255,215,-495.0704650878906
1681313737.8067036,218,-473.7972106933594
1681313741.856696,219,-508.6853332519531
1681313754.1330266,222,-478.8301086425781
1681313758.1567833,223,-483.38177490234375
1681313766.2916176,225,-488.5956115722656
1681313770.3979015,226,-499.2037353515625
1681313774.4710774,227,-502.7545471191406
1681313783.2206855,229,-497.9171447753906
1681313795.4465864,232,-520.394287109375
1681313799.4862297,233,-496.36846923828125
1681313803.540295,234,-487.4654235839844
1681313815.9964495,237,-498.9927978515625
1681313828.5866134,240,-478.36785888671875
1681313848.9478962,245,-502.5995788574219
1681313857.2666373,247,-506.9070129394531
1681313865.4165375,249,-512.484619140625
1681313869.5364938,250,-480.8016662597656
1681313890.210418,255,-478.2825622558594
1681313902.1554928,258,-498.2373962402344
1681313905.9555259,259,-488.55596923828125
1681313909.6675203,260,-522.3635864257812
1681313913.3555224,261,-501.87481689453125
1681313920.6518457,263,-508.1492004394531
1681313935.4680026,267,-499.1916198730469
1681313942.852002,269,-499.7773742675781
1681313950.323992,271,-496.91973876953125
1681313958.0120175,273,-499.66796875
1681313977.2194273,278,-502.9396667480469
1681313984.5614474,280,-511.105224609375
1681313998.8416278,284,-487.1767272949219
1681314017.130258,289,-495.36279296875
