Wall time,Step,Value
1684949583.8380344,0,-535.6427612304688
1684949587.934766,1,-548.9125366210938
1684949591.7774484,2,-590.8553466796875
1684949596.1756234,3,-533.403076171875
1684949599.992763,4,-537.6600341796875
1684949604.2895703,5,-577.468017578125
1684949608.2115152,6,-600.7149658203125
1684949612.3989348,7,-574.6541748046875
1684949616.4737022,8,-571.6359252929688
1684949620.4772003,9,-570.0513305664062
1684949624.250609,10,-561.8189697265625
1684949628.5075147,11,-552.210693359375
1684949633.6373756,12,-534.2198486328125
1684949637.352112,13,-608.89697265625
1684949640.9840443,14,-580.0184936523438
1684949644.566293,15,-563.267578125
1684949648.151114,16,-600.3616943359375
1684949651.6997366,17,-546.1987915039062
1684949655.270965,18,-583.7713012695312
1684949658.815876,19,-518.852783203125
1684949662.4016063,20,-569.8089599609375
1684949666.0005028,21,-527.755859375
1684949669.54096,22,-501.1282043457031
1684949673.1928408,23,-531.9671020507812
1684949676.7367234,24,-590.9796142578125
1684949680.2804759,25,-557.634521484375
1684949683.8739657,26,-519.9254150390625
1684949687.705515,27,-539.6908569335938
1684949692.1296923,28,-527.6234130859375
1684949698.2646995,29,-566.3125610351562
1684949702.6335132,30,-575.8096313476562
1684949706.8038292,31,-546.111083984375
1684949710.7945354,32,-586.5693359375
1684949714.7585654,33,-535.7076416015625
1684949718.846215,34,-572.1309814453125
1684949722.7489226,35,-575.02880859375
1684949726.645738,36,-567.21044921875
1684949730.3518178,37,-570.6131591796875
1684949734.3393612,38,-569.0863647460938
1684949738.2097867,39,-603.2896728515625
1684949742.2762916,40,-532.130615234375
1684949746.2882712,41,-540.0733642578125
1684949750.1349502,42,-560.306884765625
1684949754.2185283,43,-548.7574462890625
1684949759.069191,44,-570.1279907226562
1684949763.0020995,45,-527.6431274414062
1684949767.3630338,46,-573.5455932617188
1684949771.705812,47,-559.7543334960938
1684949776.1685069,48,-535.165771484375
1684949780.269223,49,-533.9384155273438
1684949784.7165143,50,-562.7227172851562
1684949788.71316,51,-504.7442932128906
1684949792.8604946,52,-573.7377319335938
1684949796.9233625,53,-537.266845703125
1684949800.9958243,54,-554.7119140625
1684949804.8483472,55,-531.2583618164062
1684949808.560754,56,-562.5302734375
1684949812.3802364,57,-557.1627197265625
1684949816.4838753,58,-570.494384765625
1684949820.4099824,59,-530.6000366210938
1684949824.5724368,60,-551.7688598632812
1684949829.3366132,61,-517.2254638671875
1684949833.330038,62,-566.245849609375
1684949837.189535,63,-542.8252563476562
1684949841.8000975,64,-568.91845703125
1684949845.566072,65,-533.7203369140625
1684949849.4547265,66,-595.5691528320312
1684949853.4675503,67,-564.3845825195312
1684949857.135851,68,-576.0388793945312
1684949860.9340458,69,-560.53125
1684949864.9345858,70,-511.2379455566406
1684949869.3299553,71,-573.88623046875
1684949873.3168745,72,-538.0692749023438
1684949877.1465065,73,-526.0634155273438
1684949881.0631888,74,-543.7601318359375
1684949885.3173573,75,-558.3407592773438
1684949890.6157749,76,-535.7841796875
1684949894.7348602,77,-552.6306762695312
1684949898.9214482,78,-545.808349609375
1684949902.9691565,79,-553.5743408203125
1684949908.0451243,80,-548.6524658203125
1684949914.334956,81,-550.2294921875
1684949921.8657827,82,-539.2347412109375
1684949926.2777514,83,-596.607421875
1684949930.147973,84,-560.22509765625
1684949934.4944465,85,-560.829833984375
1684949938.8833501,86,-539.2809448242188
1684949942.9659185,87,-513.7349853515625
1684949947.1807415,88,-530.4635009765625
1684949951.6799686,89,-540.3372192382812
1684949955.8847425,90,-583.0770263671875
1684949960.002698,91,-600.4064331054688
1684949964.2264366,92,-552.2777709960938
1684949968.4705162,93,-545.4324951171875
1684949972.6758566,94,-589.8130493164062
1684949976.8259075,95,-573.8577880859375
1684949981.1342661,96,-543.2034912109375
1684949985.1698084,97,-591.7237548828125
1684949989.0496457,98,-556.3029174804688
1684949993.3566177,99,-569.415771484375
1684949997.7782497,100,-544.4591064453125
1684950002.0633929,101,-567.7744140625
1684950006.164234,102,-570.5831909179688
1684950010.3922448,103,-562.4899291992188
1684950014.4095058,104,-582.862548828125
1684950018.3877673,105,-547.1488037109375
1684950022.1616359,106,-568.0492553710938
1684950025.9519901,107,-555.0428466796875
1684950030.08157,108,-536.290771484375
1684950034.2115402,109,-597.89794921875
1684950038.1473713,110,-554.1196899414062
1684950042.0191872,111,-564.8370361328125
1684950045.8968945,112,-593.1630859375
1684950049.7685761,113,-537.5552978515625
1684950053.614261,114,-513.6006469726562
1684950057.4752402,115,-592.7719116210938
1684950061.4181945,116,-583.5734252929688
1684950065.3877225,117,-536.6400146484375
1684950069.3103752,118,-566.1737060546875
1684950073.2342582,119,-571.8021850585938
1684950077.118943,120,-518.9412231445312
1684950081.0083885,121,-543.43017578125
1684950084.8923037,122,-582.5108032226562
1684950088.7259972,123,-514.7748413085938
1684950092.5730689,124,-580.468994140625
1684950096.4023957,125,-543.9368896484375
1684950100.289709,126,-574.0601806640625
1684950104.1505318,127,-561.6744995117188
1684950108.0135453,128,-579.5942993164062
1684950111.8961675,129,-574.33984375
1684950115.773901,130,-595.4033203125
1684950119.6850939,131,-549.6666259765625
1684950123.5579545,132,-558.798095703125
1684950127.4151433,133,-554.623291015625
1684950131.2832453,134,-540.252197265625
1684950135.2009673,135,-542.30419921875
1684950139.092215,136,-602.5735473632812
1684950142.91274,137,-584.7025756835938
1684950146.7729015,138,-554.549560546875
1684950150.617426,139,-546.2212524414062
1684950154.4855447,140,-585.2642822265625
1684950158.3571,141,-549.25830078125
1684950162.2203684,142,-526.3795776367188
1684950166.0834656,143,-557.8673095703125
1684950169.9342725,144,-564.3140258789062
1684950173.7856472,145,-518.501708984375
1684950177.6869895,146,-553.6552124023438
1684950181.53993,147,-585.6964111328125
1684950185.3837237,148,-565.9033203125
1684950189.261921,149,-593.3287963867188
1684950193.1067207,150,-541.8060913085938
1684950197.003467,151,-601.5125122070312
1684950200.844928,152,-560.3421020507812
1684950204.72021,153,-572.2293090820312
1684950208.5531979,154,-535.8041381835938
1684950212.389461,155,-586.9949951171875
1684950216.2736769,156,-550.3302001953125
1684950220.1076639,157,-529.4758911132812
1684950223.9143126,158,-552.607421875
1684950227.7635586,159,-588.4745483398438
1684950231.6045964,160,-566.526123046875
1684950235.4934003,161,-546.4639282226562
1684950239.3281045,162,-586.2893676757812
1684950243.241437,163,-566.8038940429688
1684950247.3728645,164,-559.2819213867188
1684950251.8730829,165,-571.4788208007812
1684950256.3932343,166,-559.76416015625
1684950260.4319584,167,-570.3526611328125
1684950264.505922,168,-582.7374267578125
1684950268.6833239,169,-596.00146484375
1684950272.7089846,170,-584.3045654296875
1684950276.7103412,171,-569.3021240234375
1684950280.5083606,172,-529.10498046875
1684950284.2473536,173,-558.0758056640625
1684950288.2878418,174,-564.795654296875
1684950292.1605685,175,-544.0216064453125
1684950295.9939282,176,-559.4032592773438
1684950299.8249164,177,-577.981689453125
1684950303.622684,178,-588.2046508789062
1684950307.4511354,179,-586.6893920898438
1684950311.1872454,180,-539.702392578125
1684950315.2824566,181,-574.381591796875
1684950319.8713374,182,-631.1397705078125
1684950323.8140845,183,-572.4933471679688
1684950327.5725045,184,-550.4373779296875
1684950331.6810267,185,-560.8323974609375
1684950336.05445,186,-627.24072265625
1684950340.2106757,187,-534.948486328125
1684950344.246064,188,-589.8113403320312
1684950348.3494666,189,-546.7902221679688
1684950352.405411,190,-561.4905395507812
1684950356.3710754,191,-569.3095092773438
1684950360.3738437,192,-576.2212524414062
1684950364.3317142,193,-586.2258911132812
1684950368.3363082,194,-537.9259643554688
1684950372.4490275,195,-579.1905517578125
1684950376.6821628,196,-517.5348510742188
1684950380.681988,197,-568.0205688476562
1684950384.860068,198,-522.7981567382812
1684950389.2561078,199,-547.9189453125
1684950393.550726,200,-553.5042114257812
1684950397.7942374,201,-585.708740234375
1684950401.6243203,202,-552.1305541992188
1684950405.8092988,203,-567.7464599609375
1684950410.5916402,204,-593.2940673828125
1684950414.4698737,205,-578.826416015625
1684950418.3208876,206,-545.9713745117188
1684950422.1310523,207,-536.771484375
1684950425.9799788,208,-564.351318359375
1684950429.8477516,209,-535.4468383789062
1684950433.585415,210,-531.3806762695312
1684950437.5397916,211,-578.1118774414062
1684950441.6141405,212,-544.3663940429688
1684950445.5793676,213,-545.2177734375
1684950449.9243586,214,-527.0910034179688
1684950453.5190651,215,-558.3665161132812
1684950457.3663714,216,-575.12109375
1684950461.5816822,217,-589.33837890625
1684950465.9312139,218,-604.8524169921875
1684950470.162042,219,-551.5753173828125
1684950474.1183572,220,-550.2737426757812
1684950478.0135438,221,-610.7671508789062
1684950481.8163915,222,-532.9603271484375
1684950485.9929714,223,-551.5270385742188
1684950489.9025664,224,-579.5289306640625
1684950493.725717,225,-557.1259155273438
1684950497.532919,226,-558.8334350585938
1684950501.4428341,227,-529.7489013671875
1684950505.3899887,228,-583.8262329101562
1684950509.2963715,229,-577.7024536132812
1684950512.8216162,230,-595.2294311523438
1684950516.418499,231,-550.4620361328125
1684950519.9643512,232,-543.7875366210938
1684950523.489082,233,-593.182861328125
1684950527.0437388,234,-555.444580078125
1684950530.6723673,235,-549.8414306640625
1684950534.2767367,236,-538.1282958984375
1684950537.874396,237,-519.4666137695312
1684950542.796364,238,-589.5462646484375
1684950547.0609217,239,-494.8471984863281
1684950551.1979978,240,-561.7764282226562
1684950555.1400437,241,-541.8136596679688
1684950558.9554317,242,-561.7833862304688
1684950563.189183,243,-540.70458984375
1684950567.0331013,244,-574.4339599609375
1684950571.252983,245,-507.703125
1684950575.608755,246,-571.8787231445312
1684950579.438707,247,-562.5636596679688
1684950583.2169244,248,-556.8566284179688
1684950587.025625,249,-569.1641845703125
1684950590.818077,250,-513.0013427734375
1684950594.6136653,251,-600.1309814453125
1684950598.4190235,252,-582.0625610351562
1684950602.1820116,253,-587.2948608398438
1684950605.907586,254,-625.7024536132812
1684950609.624365,255,-557.6260986328125
1684950613.5188918,256,-578.10107421875
1684950617.385581,257,-560.2019653320312
1684950621.0700638,258,-535.9498901367188
1684950625.1040928,259,-598.3023681640625
1684950628.7349055,260,-578.1972045898438
1684950632.3987713,261,-562.5728759765625
1684950636.059105,262,-525.30810546875
1684950639.6857185,263,-598.0293579101562
1684950643.302582,264,-603.329345703125
1684950646.964757,265,-549.86328125
1684950650.8563774,266,-561.895263671875
1684950654.6429038,267,-547.267822265625
1684950658.5896623,268,-605.158935546875
1684950662.3592155,269,-573.3316040039062
1684950666.1302972,270,-542.8588256835938
1684950670.185822,271,-522.5789184570312
1684950674.036407,272,-527.6156616210938
1684950677.7006369,273,-536.672119140625
1684950681.4711401,274,-571.4572143554688
1684950685.1975858,275,-566.8707885742188
1684950689.342354,276,-586.2673950195312
1684950692.9530447,277,-580.0657958984375
1684950696.564589,278,-557.8135986328125
1684950700.1801016,279,-591.0117797851562
1684950704.2735348,280,-527.5504150390625
1684950708.6341183,281,-604.2158813476562
1684950713.0519843,282,-563.4441528320312
1684950716.7676153,283,-576.7318725585938
1684950720.4471543,284,-528.1636962890625
1684950724.4266665,285,-543.8138427734375
1684950728.6435764,286,-567.506591796875
1684950733.9608977,287,-509.7861633300781
1684950738.6562665,288,-521.7997436523438
1684950743.3653696,289,-596.8807983398438
1684950747.5310552,290,-550.5323486328125
