Wall time,Step,Value
1682968725.4029236,0,-658.06884765625
1682968788.2007267,1,-687.7374267578125
1682968850.349749,2,-566.8342895507812
1682968913.901661,3,-610.20263671875
1682968976.9611905,4,-630.1849975585938
1682969039.5162802,5,-666.0035400390625
1682969104.2642639,6,-623.050537109375
1682969168.4754457,7,-683.904052734375
1682969232.7470896,8,-654.9727172851562
1682969295.51191,9,-631.772705078125
1682969360.5608459,10,-612.8811645507812
1682969426.6669436,11,-617.1491088867188
1682969510.5867288,12,-650.5995483398438
1682969621.0672228,13,-580.878662109375
1682969727.2832375,14,-685.9428100585938
1682969831.151248,15,-637.84228515625
1682969935.6836154,16,-617.1491088867188
1682970040.0413764,17,-650.5995483398438
1682970141.310261,18,-580.878662109375
1682970239.931403,19,-685.9428100585938
1682970282.0414057,20,-637.84228515625
1682970324.6219606,21,-617.1491088867188
1682970367.6233158,22,-650.5995483398438
1682970410.7283258,23,-580.878662109375
1682970454.2542171,24,-685.9428100585938
1682970498.271125,25,-637.84228515625
1682970542.2772179,26,-617.1491088867188
1682970586.123692,27,-650.5995483398438
1682970630.0486372,28,-580.878662109375
1682970674.1794655,29,-685.9428100585938
1682970718.2744946,30,-637.84228515625
1682970762.331424,31,-617.1491088867188
1682970806.7332106,32,-650.5995483398438
1682970851.0359633,33,-580.878662109375
1682970896.3587563,34,-685.9428100585938
1682970941.021585,35,-637.84228515625
1682970985.5289981,36,-617.1491088867188
1682971030.1122768,37,-650.5995483398438
1682971074.7436497,38,-580.878662109375
1682971119.443801,39,-685.9428100585938
1682971164.569275,40,-637.84228515625
1682971211.9038682,41,-617.1491088867188
1682971258.7883885,42,-650.5995483398438
1682971304.178811,43,-580.878662109375
1682971349.3211336,44,-685.9428100585938
1682971393.5379686,45,-637.84228515625
1682971439.0382824,46,-617.1491088867188
1682971484.3098404,47,-650.5995483398438
1682971535.2749097,48,-580.878662109375
1682971590.7127082,49,-685.9428100585938
1682971645.4421055,50,-637.84228515625
1682971700.5612676,51,-617.1491088867188
1682971756.4498904,52,-650.5995483398438
1682971811.207394,53,-580.878662109375
1682971865.3002856,54,-685.9428100585938
1682971919.539334,55,-637.84228515625
1682971975.0816607,56,-617.1491088867188
1682972031.458588,57,-650.5995483398438
1682972087.4448297,58,-580.878662109375
1682972142.367573,59,-685.9428100585938
1682972197.0382185,60,-637.84228515625
1682972251.4758809,61,-617.1491088867188
1682972306.401013,62,-650.5995483398438
1682972360.7408388,63,-580.878662109375
1682972415.6471057,64,-685.9428100585938
1682972470.2017703,65,-637.84228515625
1682972524.5697658,66,-617.1491088867188
1682972578.9604237,67,-650.5995483398438
1683008544.0773363,68,-580.878662109375
1683008614.9239175,69,-685.9428100585938
1683008683.7750366,70,-637.84228515625
1683008753.6931188,71,-617.1491088867188
1683008825.7086427,72,-650.5995483398438
1683008896.2562132,73,-580.878662109375
1683008970.4814765,74,-685.9428100585938
1683009045.6355705,75,-637.84228515625
1683009117.6003273,76,-617.1491088867188
1683009189.2523396,77,-650.5995483398438
1683009259.3452578,78,-580.878662109375
1683009329.343868,79,-685.9428100585938
1683009401.4302976,80,-637.84228515625
1683009474.799477,81,-617.1491088867188
1683009545.9590673,82,-650.5995483398438
1683009616.142189,83,-580.878662109375
1683009687.06422,84,-685.9428100585938
1683009756.9898953,85,-637.84228515625
1683009827.2129264,86,-617.1491088867188
1683009897.5503595,87,-650.5995483398438
1683009967.705331,88,-580.878662109375
1683010038.0478892,89,-685.9428100585938
1683010111.1620674,90,-637.84228515625
1683010175.1748621,91,-617.1491088867188
1683010226.7169733,92,-650.5995483398438
1683010278.6810539,93,-580.878662109375
1683010330.9050794,94,-685.9428100585938
1683010387.3269937,95,-637.84228515625
1683010439.9833071,96,-617.1491088867188
1683010492.919853,97,-650.5995483398438
1683010545.139265,98,-580.878662109375
1683010598.0296512,99,-685.9428100585938
