Wall time,Step,Value
1680826062.1591542,0,-6938.81689453125
1680826070.7191484,1,-6902.10009765625
1680826079.317392,2,-7091.69677734375
1680826089.949292,3,-6947.115234375
1680826099.6792796,4,-6885.7509765625
1680826109.3385324,5,-7026.29296875
1680826119.0995538,6,-7021.52490234375
1680826128.3864546,7,-7155.15771484375
1680826138.2744863,8,-6590.412109375
1680826147.8243272,9,-7306.28515625
1680826157.1144457,10,-7157.77490234375
1680826166.1343315,11,-7148.18115234375
1680826175.3884873,12,-6661.083984375
1680826184.5974784,13,-7213.46533203125
1680826193.9202287,14,-6959.2490234375
1680826203.9641705,15,-6983.16650390625
1680826213.5545676,16,-6833.962890625
1680826222.9344296,17,-6709.98828125
1680826232.6692696,18,-6853.42041015625
1680826242.1507215,19,-6628.57275390625
1680826251.7464345,20,-6234.42822265625
1680826261.0283678,21,-7083.7861328125
1680826270.4007003,22,-7150.14599609375
1680826280.0953703,23,-6748.482421875
1680826289.789605,24,-6595.25927734375
1680826299.6884453,25,-6927.73193359375
1680826309.7557335,26,-7046.90478515625
1680826319.8343058,27,-6992.2255859375
1680826330.2144842,28,-6557.9833984375
1680826339.934272,29,-6716.48486328125
1680826351.6843336,30,-6496.90234375
1680826361.5042944,31,-7395.1748046875
1680826371.0693617,32,-6887.09765625
1680826382.8146846,33,-6518.79443359375
1680826394.2189345,34,-6801.015625
1680826404.484494,35,-6770.06494140625
1680826414.5504978,36,-6955.5537109375
1680826424.914518,37,-6869.70703125
1680826435.1897757,38,-6654.87060546875
1680826446.1843143,39,-7181.29345703125
1680826455.6915064,40,-6720.2919921875
1680826466.7746658,41,-6939.228515625
1680826478.900547,42,-7086.87939453125
1680826489.6194043,43,-7128.2744140625
1680826499.6986542,44,-6438.375
1680826509.900787,45,-6525.08544921875
1680826520.1743662,46,-7471.04638671875
1680826530.7946439,47,-6630.10107421875
1680826541.7198,48,-6763.361328125
1680826553.991131,49,-6935.53515625
1680826564.7248282,50,-6886.7509765625
1680826575.3544376,51,-6795.81396484375
1680826585.4347427,52,-7299.1396484375
1680826596.0877848,53,-7245.0712890625
1680826606.565572,54,-7109.00537109375
1680826616.9844105,55,-6807.72314453125
1680826627.6347814,56,-6820.66796875
1680826638.5645862,57,-7339.12890625
1680826650.2067533,58,-6952.0751953125
1680826661.5046196,59,-6584.33935546875
1680826672.727537,60,-6671.45849609375
1680826684.074827,61,-6897.50146484375
1680826694.6795328,62,-7031.94189453125
1680826705.869887,63,-7031.1376953125
1680826717.964848,64,-6762.96533203125
1680826728.4845402,65,-6920.93212890625
1680826739.474763,66,-7185.009765625
1680826750.0975895,67,-6825.935546875
1680826761.0446448,68,-6955.4794921875
1680826770.9596245,69,-6946.85498046875
1680826781.1599367,70,-6621.17138671875
1680826793.06803,71,-6756.49755859375
1680826804.1948097,72,-7067.0517578125
1680826815.2946575,73,-6719.17919921875
1680826825.2045825,74,-6690.294921875
1680826835.1248229,75,-6871.83056640625
1680826845.0696695,76,-6936.6494140625
