Wall time,Step,Value
1680825998.0942662,0,-2240.95361328125
1680826002.0891747,1,-2191.791748046875
1680826006.1989183,2,-2290.683349609375
1680826011.794145,3,-2243.861083984375
1680826016.638649,4,-2316.015869140625
1680826020.8593462,5,-2283.558837890625
1680826025.3541431,6,-2210.529296875
1680826029.739171,7,-2258.90673828125
1680826034.024192,8,-2281.626220703125
1680826038.4241092,9,-2282.778076171875
1680826042.8443592,10,-2256.87939453125
1680826047.74449,11,-2362.67578125
1680826053.9445593,12,-2149.509033203125
1680826062.3641462,13,-2228.47216796875
1680826070.4591494,14,-2394.52392578125
1680826078.5755367,15,-2251.8173828125
1680826088.494118,16,-2295.234619140625
1680826098.0491908,17,-2199.246826171875
1680826107.2313895,18,-2197.9560546875
1680826116.1195812,19,-2104.034423828125
1680826125.379435,20,-2210.8642578125
1680826134.5863981,21,-2251.52099609375
1680826143.4146,22,-2070.8583984375
1680826152.3195386,23,-2204.146728515625
1680826160.8464973,24,-2201.67822265625
1680826169.5243592,25,-2254.673095703125
1680826178.2043993,26,-2185.777099609375
1680826186.8592453,27,-2425.82373046875
1680826195.684145,28,-2169.125
1680826205.17836,29,-2188.88330078125
1680826214.2106209,30,-2238.85107421875
1680826223.04463,31,-2316.76708984375
1680826232.1944084,32,-2249.571533203125
1680826241.0973153,33,-2124.744140625
1680826250.0356297,34,-2195.378662109375
1680826258.8495605,35,-2246.627685546875
1680826267.5844004,36,-2275.3154296875
1680826276.4843445,37,-2247.869140625
1680826285.6346776,38,-2149.2412109375
1680826294.8353775,39,-2286.66552734375
1680826304.4293303,40,-2213.7099609375
1680826313.7373455,41,-2275.06591796875
1680826323.831565,42,-2292.923095703125
1680826332.9184208,43,-2292.945556640625
1680826342.0275762,44,-2283.3681640625
1680826353.1744153,45,-2119.02734375
1680826362.4314826,46,-2357.951171875
1680826371.38734,47,-2201.623779296875
1680826382.3086364,48,-2165.3818359375
1680826393.3555021,49,-2272.085205078125
1680826403.059632,50,-2205.293212890625
1680826412.4968185,51,-2251.433349609375
1680826422.2047024,52,-2361.48779296875
1680826431.8264759,53,-2313.1923828125
1680826442.0594993,54,-2370.395263671875
1680826451.1245985,55,-2292.3798828125
1680826460.234538,56,-2333.4150390625
1680826471.4595642,57,-2351.80126953125
1680826482.4424853,58,-2262.212646484375
1680826492.505822,59,-2163.170166015625
1680826502.04674,60,-2182.3935546875
1680826511.5555093,61,-2278.0341796875
1680826521.2193463,62,-2295.595703125
1680826531.2545195,63,-2355.72509765625
1680826541.4447174,64,-2293.284423828125
1680826553.1393886,65,-2262.577392578125
1680826563.2298393,66,-2314.13525390625
1680826573.1947145,67,-2151.04296875
1680826582.6767385,68,-2373.390380859375
1680826592.7794545,69,-2186.069091796875
1680826602.6346312,70,-2229.873779296875
1680826612.4499319,71,-2253.14892578125
1680826622.3294332,72,-2361.7177734375
1680826632.524399,73,-2185.083740234375
1680826642.6647282,74,-2133.029296875
1680826653.9692166,75,-2269.319091796875
1680826664.4546154,76,-2281.78662109375
1680826675.4575436,77,-2324.38330078125
1680826685.6795123,78,-2395.160400390625
1680826695.6928916,79,-2346.11669921875
1680826706.2175622,80,-2294.37890625
1680826717.6459236,81,-2245.206787109375
1680826727.5997875,82,-2332.6669921875
1680826737.7549756,83,-2130.581787109375
1680826747.8147316,84,-2265.501220703125
1680826758.0748203,85,-2257.303466796875
1680826767.7620952,86,-2213.39013671875
1680826777.3825068,87,-2325.40625
1680826787.1345277,88,-2091.083251953125
1680826799.159714,89,-2257.6796875
1680826808.7045395,90,-2185.77734375
1680826819.2296023,91,-2245.81982421875
1680826828.4349122,92,-2182.857421875
1680826837.8551357,93,-2232.060791015625
1680826847.4345825,94,-2286.071533203125
