Wall time,Step,Value
1680826091.3578153,0,-5376.2294921875
1680826100.909151,1,-5509.16455078125
1680826110.1895936,2,-5895.7919921875
1680826119.664145,3,-5450.41015625
1680826128.6341708,4,-5727.73291015625
1680826138.2135348,5,-5564.39599609375
1680826147.5224402,6,-5876.89306640625
1680826156.4892147,7,-5621.521484375
1680826165.2574928,8,-5638.5234375
1680826174.2092202,9,-5779.07373046875
1680826183.2483222,10,-5516.599609375
1680826192.2355711,11,-5762.61083984375
1680826201.7114105,12,-5457.97265625
1680826211.2096515,13,-5547.525390625
1680826220.2443602,14,-5665.07666015625
1680826229.766574,15,-5664.8271484375
1680826238.9695923,16,-5648.67919921875
1680826248.199316,17,-5596.189453125
1680826257.2045732,18,-5696.36669921875
1680826266.176417,19,-5331.10693359375
1680826275.4393878,20,-5172.494140625
1680826284.765368,21,-5712.150390625
1680826294.2565112,22,-5453.6533203125
1680826303.9967678,23,-5437.10498046875
1680826313.6648755,24,-5613.04248046875
1680826324.1244617,25,-5511.8681640625
1680826333.463406,26,-5629.77490234375
1680826343.0987804,27,-5957.2119140625
1680826354.2125616,28,-5631.5703125
1680826363.6723614,29,-5467.15234375
1680826373.1165686,30,-5601.0107421875
1680826384.9642699,31,-5816.4228515625
1680826395.6126034,32,-5639.3759765625
1680826405.449507,33,-5367.646484375
1680826415.2842636,34,-5509.86572265625
1680826425.3365712,35,-5651.50732421875
1680826435.234537,36,-5800.80126953125
1680826445.8773956,37,-5806.31201171875
1680826455.1537392,38,-5408.86474609375
1680826465.6717446,39,-5702.4814453125
1680826477.5666752,40,-5502.8720703125
1680826488.100773,41,-5716.638671875
1680826497.9796214,42,-5734.6064453125
1680826507.9907339,43,-5768.78955078125
1680826517.9147406,44,-5380.70947265625
1680826528.2294786,45,-5412.0390625
1680826538.6747873,46,-5764.49365234375
1680826550.6851664,47,-5434.9013671875
1680826561.3098264,48,-5453.84033203125
1680826571.6845596,49,-5721.19970703125
1680826581.6345115,50,-5618.67578125
1680826591.955785,51,-5564.62109375
1680826602.0897236,52,-5933.61865234375
1680826612.2197347,53,-5787.80615234375
1680826622.4768732,54,-6029.48193359375
1680826633.0947118,55,-5603.0576171875
1680826643.8248234,56,-5687.30078125
1680826655.345599,57,-5964.544921875
1680826666.3725824,58,-5566.69580078125
1680826677.7546527,59,-5310.4560546875
1680826688.1687717,60,-5336.57421875
1680826698.434625,61,-5707.58447265625
1680826709.8375995,62,-5870.9716796875
1680826721.3360257,63,-6021.060546875
1680826731.489527,64,-5553.998046875
1680826742.204815,65,-5443.28076171875
1680826752.69978,66,-5711.3154296875
1680826763.2878108,67,-5647.017578125
1680826773.4695592,68,-5911.693359375
1680826782.9893734,69,-5583.64111328125
1680826795.6946898,70,-5469.8369140625
1680826805.9178047,71,-5540.72705078125
1680826816.9246476,72,-5672.54052734375
1680826826.4595194,73,-5543.72216796875
1680826836.2245688,74,-5305.724609375
1680826846.0749311,75,-5675.93212890625
1680826854.5448685,76,-5717.03759765625
