Wall time,Step,Value
1682972307.4598234,0,-7075.4873046875
1683009136.9037554,1,-7049.69873046875
1683010144.595411,2,-7397.23779296875
1683010823.4831626,3,-7082.3095703125
1683011354.5791366,4,-6506.7255859375
1683011871.5134423,5,-7165.4482421875
1683012374.760917,6,-7131.978515625
1683012884.6446183,7,-7324.27880859375
1683013387.8026123,8,-7617.90625
1683013889.3885212,9,-7082.3095703125
1683014390.6223621,10,-6506.7255859375
1683014892.9686668,11,-7165.4482421875
1683015421.0613322,12,-7131.978515625
1683016012.612785,13,-7324.27880859375
1683016648.4357486,14,-7617.90625
1683017285.2975693,15,-7082.3095703125
1683017917.6716177,16,-6506.7255859375
1683018550.9710848,17,-7165.4482421875
1683019187.268083,18,-7131.978515625
1683019774.2188387,19,-7324.27880859375
1683020279.4924724,20,-7617.90625
1683020791.528755,21,-7082.3095703125
1683021294.8731668,22,-6506.7255859375
1683021798.9972005,23,-7165.4482421875
1683022303.0536458,24,-7131.978515625
1683022805.810392,25,-7324.27880859375
1683023308.5912545,26,-7617.90625
1683023810.341558,27,-7082.3095703125
1683024372.1032605,28,-6506.7255859375
1683025011.3591964,29,-7165.4482421875
1683025648.2000046,30,-7131.978515625
1683026293.8915384,31,-7324.27880859375
1683026928.426038,32,-7617.90625
1683027563.6305768,33,-7082.3095703125
1683028196.7818918,34,-6506.7255859375
1683028705.9968858,35,-7165.4482421875
1683029235.6606648,36,-7131.978515625
1683029745.0000308,37,-7324.27880859375
1683030250.2166831,38,-7617.90625
1683030753.3410432,39,-7082.3095703125
1683031264.9197915,40,-6506.7255859375
1683031787.3724613,41,-7165.4482421875
1683032439.955616,42,-7131.978515625
1683033076.6975458,43,-7324.27880859375
1683046278.3524065,44,-7617.90625
1683046911.674707,45,-7082.3095703125
1683047574.5723183,46,-6506.7255859375
1683048228.7883143,47,-7165.4482421875
1683048750.3754823,48,-7131.978515625
1683049271.2304668,49,-7324.27880859375
1683049798.644425,50,-7617.90625
1683050436.9079168,51,-7082.3095703125
1683051090.5116956,52,-6506.7255859375
1683051596.20234,53,-7165.4482421875
1683052101.0866954,54,-7131.978515625
1683052603.3615665,55,-7324.27880859375
1683053107.1128397,56,-7617.90625
1683053608.5264869,57,-7082.3095703125
1683054174.7746875,58,-6506.7255859375
1683054821.1464274,59,-7165.4482421875
1683055457.5430427,60,-7131.978515625
1683056094.95616,61,-7324.27880859375
1683056728.3367946,62,-7617.90625
1683057360.4184983,63,-7082.3095703125
1683058017.5719965,64,-6506.7255859375
1683058517.0274105,65,-7165.4482421875
1683059027.3399408,66,-7131.978515625
1683059530.623993,67,-7324.27880859375
1683060033.4411278,68,-7617.90625
1683060535.1274776,69,-7082.3095703125
1683061060.1576703,70,-6506.7255859375
1683090222.5219815,71,-7165.4482421875
1683090854.229362,72,-7131.978515625
1683091488.6395013,73,-7324.27880859375
1683092124.025448,74,-7617.90625
1683133568.4170504,75,-7082.3095703125
1683134241.514668,76,-6506.7255859375
1683134781.0467992,77,-7165.4482421875
1683135317.241488,78,-7131.978515625
1683135851.5979369,79,-7324.27880859375
1683136378.7739763,80,-7617.90625
1683136906.9052732,81,-7082.3095703125
1683137435.446465,82,-6506.7255859375
1683138040.0446217,83,-7165.4482421875
1683138690.3862026,84,-7131.978515625
1683139340.2760494,85,-7324.27880859375
1683139988.2239506,86,-7617.90625
1683140681.0853431,87,-7082.3095703125
1683141255.258761,88,-6506.7255859375
1683141837.9022,89,-7165.4482421875
1683142419.9510717,90,-7131.978515625
1683143130.5274224,91,-7324.27880859375
1683143905.758493,92,-7617.90625
1683144680.110322,93,-7082.3095703125
1683145434.1516407,94,-6506.7255859375
1683146003.7666345,95,-7165.4482421875
1683146585.292605,96,-7131.978515625
1683179755.9213753,97,-7324.27880859375
1683180316.3891976,98,-7617.90625
1683180876.230598,99,-7082.3095703125
