Wall time,Step,Value
1680513596.249787,0,-4085.028076171875
1680513662.3337867,1,-4074.595703125
1680513729.4389045,2,-3995.8798828125
1680513796.3467402,3,-4126.74951171875
1680513865.3657691,4,-3933.41455078125
1680513934.5847516,5,-4100.314453125
1680513999.786856,6,-3979.44287109375
1680514064.605606,7,-3910.160888671875
1680514129.6246495,8,-3953.537841796875
1680514192.6067512,9,-4075.666748046875
1680514254.279769,10,-4189.3212890625
1680514318.2998717,11,-4094.5888671875
1680514379.704692,12,-3953.537841796875
1680514440.389609,13,-4075.666748046875
1680514506.0960326,14,-4189.3212890625
1680514567.0663707,15,-4094.5888671875
1680514634.2124867,16,-3953.537841796875
1680514703.034976,17,-4075.666748046875
1680514766.5486948,18,-4189.3212890625
1680514828.8786743,19,-4094.5888671875
1680514891.2627208,20,-3953.537841796875
1680514952.0795,21,-4075.666748046875
1680515012.9639235,22,-4189.3212890625
1680515075.5672019,23,-4094.5888671875
1680515135.1747403,24,-3953.537841796875
1680515189.2557576,25,-4075.666748046875
1680515245.6266985,26,-4189.3212890625
1680515301.024145,27,-4094.5888671875
1680515355.4703486,28,-3953.537841796875
1680515410.1264012,29,-4075.666748046875
1680515464.797693,30,-4189.3212890625
1680515519.262877,31,-4094.5888671875
1680515573.233938,32,-3953.537841796875
1680515627.3725033,33,-4075.666748046875
1680515684.036344,34,-4189.3212890625
1680515738.834136,35,-4094.5888671875
1680515798.3421023,36,-3953.537841796875
1680515862.4568186,37,-4075.666748046875
1680515923.4507682,38,-4189.3212890625
1680515983.9514043,39,-4094.5888671875
1680516045.248168,40,-3953.537841796875
1680516108.3968658,41,-4075.666748046875
1680516172.2871704,42,-4189.3212890625
1680516231.8803494,43,-4094.5888671875
1680516293.117227,44,-3953.537841796875
1680516353.366068,45,-4075.666748046875
1680516413.045158,46,-4189.3212890625
1680516472.875221,47,-4094.5888671875
1680516532.26189,48,-3953.537841796875
1680516592.125495,49,-4075.666748046875
1680516654.3358347,50,-4189.3212890625
1680516713.33226,51,-4094.5888671875
1680516773.498869,52,-3953.537841796875
1680516831.0701473,53,-4075.666748046875
1680516889.848607,54,-4189.3212890625
1680516947.69317,55,-4094.5888671875
1680517002.902005,56,-3953.537841796875
1680517057.917832,57,-4075.666748046875
1680517121.4024453,58,-4189.3212890625
1680517191.1097538,59,-4094.5888671875
1680517260.517473,60,-3953.537841796875
1680517330.0349905,61,-4075.666748046875
1680517399.8076487,62,-4189.3212890625
1680517469.1241884,63,-4094.5888671875
1680517539.790883,64,-3953.537841796875
1680517610.0366745,65,-4075.666748046875
1680517680.2964542,66,-4189.3212890625
1680517750.787349,67,-4094.5888671875
1680517821.8967087,68,-3953.537841796875
1680517895.3540206,69,-4075.666748046875
1680517968.2848742,70,-4189.3212890625
1680518037.658249,71,-4094.5888671875
1680518107.6130724,72,-3953.537841796875
1680518177.5300615,73,-4075.666748046875
1680518247.3930018,74,-4189.3212890625
1680518316.9872644,75,-4094.5888671875
1680518386.4844487,76,-3953.537841796875
