Wall time,Step,Value
1680535057.889122,0,-6016.57666015625
1680535065.4624329,1,-6099.68896484375
1680535075.1050344,2,-6099.68896484375
1680535084.8089802,3,-6099.68896484375
1680535094.5671442,4,-6099.68896484375
1680535103.0493965,5,-6099.68896484375
1680535110.7570124,6,-6099.68896484375
1680535118.4491253,7,-6099.68896484375
1680535126.1449413,8,-6099.68896484375
1680535134.1700578,9,-6099.68896484375
1680535142.4020088,10,-6099.68896484375
1680535150.6119897,11,-6099.68896484375
1680535158.7972617,12,-6099.68896484375
1680535168.1210356,13,-6099.68896484375
1680535177.3128839,14,-6099.68896484375
1680535186.935942,15,-6099.68896484375
1680535196.7212183,16,-6099.68896484375
1680535206.2829823,17,-6099.68896484375
1680535215.4152234,18,-6099.68896484375
1680535222.5544367,19,-6099.68896484375
1680535230.497127,20,-6099.68896484375
1680535239.3850057,21,-6099.68896484375
1680535248.4269369,22,-6099.68896484375
1680535257.360991,23,-6099.68896484375
1680535266.236971,24,-6099.68896484375
1680535275.0942698,25,-6099.68896484375
1680535284.0578933,26,-6099.68896484375
1680535293.160861,27,-6099.68896484375
1680535302.0840642,28,-6099.68896484375
1680535310.9264102,29,-6099.68896484375
1680535319.929778,30,-6099.68896484375
1680535328.9680824,31,-6099.68896484375
1680535337.85295,32,-6099.68896484375
1680535346.895342,33,-6099.68896484375
1680535355.905493,34,-6099.68896484375
1680535364.8060899,35,-6099.68896484375
1680535373.9282944,36,-6099.68896484375
1680535382.9484386,37,-6099.68896484375
1680535391.7198086,38,-6099.68896484375
1680535400.6509783,39,-6099.68896484375
1680535409.7247093,40,-6099.68896484375
1680535418.7021487,41,-6099.68896484375
1680535427.5754263,42,-6099.68896484375
1680535436.573048,43,-6099.68896484375
1680535445.6219318,44,-6099.68896484375
1680535454.46711,45,-6099.68896484375
1680535463.4380805,46,-6099.68896484375
1680535472.4001884,47,-6099.68896484375
1680535481.2512426,48,-6099.68896484375
1680535490.2400656,49,-6099.68896484375
1680535499.1266387,50,-6099.68896484375
1680535508.1833262,51,-6099.68896484375
1680535517.1607409,52,-6099.68896484375
1680535526.125259,53,-6099.68896484375
1680535535.1667137,54,-6099.68896484375
1680535544.1773868,55,-6099.68896484375
1680535553.4303114,56,-6099.68896484375
1680535562.5252216,57,-6099.68896484375
1680535571.6374419,58,-6099.68896484375
1680535580.7183452,59,-6099.68896484375
1680535589.9174697,60,-6099.68896484375
1680535598.9944246,61,-6099.68896484375
1680535608.156364,62,-6099.68896484375
1680535617.2370284,63,-6099.68896484375
1680535626.3785691,64,-6099.68896484375
1680535635.5711117,65,-6099.68896484375
1680535644.629258,66,-6099.68896484375
1680535653.6090999,67,-6099.68896484375
1680535662.6990654,68,-6099.68896484375
1680535671.9121947,69,-6099.68896484375
1680535681.0861127,70,-6099.68896484375
1680535690.2626405,71,-6099.68896484375
1680535699.3741202,72,-6099.68896484375
1680535708.5558324,73,-6099.68896484375
1680535717.5009902,74,-6099.68896484375
1680535726.5779786,75,-6099.68896484375
1680535735.7659445,76,-6099.68896484375
1680535744.988706,77,-6099.68896484375
1680535754.215291,78,-6099.68896484375
1680535763.165614,79,-6099.68896484375
1680535772.2040498,80,-6099.68896484375
1680535781.4429195,81,-6099.68896484375
1680535790.4881144,82,-6099.68896484375
1680535799.4907212,83,-6099.68896484375
1680535808.4036887,84,-6099.68896484375
1680535817.7118783,85,-6099.68896484375
1680535826.832715,86,-6099.68896484375
1680535836.099809,87,-6099.68896484375
1680535845.3307438,88,-6099.68896484375
1680535854.4953597,89,-6099.68896484375
1680535863.7782605,90,-6099.68896484375
1680535873.170553,91,-6099.68896484375
1680535882.4190705,92,-6099.68896484375
1680535891.6926422,93,-6099.68896484375
1680535900.8284135,94,-6099.68896484375
1680535910.1148257,95,-6099.68896484375
1680535919.427428,96,-6099.68896484375
1680535928.8083184,97,-6099.68896484375
1680535938.052345,98,-6099.68896484375
1680535947.3951714,99,-6099.68896484375
1680535956.7472553,100,-6099.68896484375
1680535966.0857449,101,-6099.68896484375
1680535975.3642845,102,-6099.68896484375
1680535984.6119041,103,-6099.68896484375
1680535993.8439114,104,-6099.68896484375
1680536003.1269522,105,-6099.68896484375
1680536012.3655648,106,-6099.68896484375
1680536021.5526488,107,-6099.68896484375
1680536030.7804525,108,-6099.68896484375
1680536040.106173,109,-6099.68896484375
1680536049.19715,110,-6099.68896484375
1680536058.456102,111,-6099.68896484375
1680536067.5772073,112,-6099.68896484375
1680536076.7889605,113,-6099.68896484375
1680536086.0680175,114,-6099.68896484375
1680536095.316604,115,-6099.68896484375
1680536104.4327264,116,-6099.68896484375
1680536113.3892255,117,-6099.68896484375
1680536122.4171286,118,-6099.68896484375
1680536131.4254022,119,-6099.68896484375
1680536140.4326458,120,-6099.68896484375
1680536149.6291618,121,-6099.68896484375
1680536158.7694726,122,-6099.68896484375
1680536167.8785589,123,-6099.68896484375
1680536177.0988228,124,-6099.68896484375
1680536186.1948934,125,-6099.68896484375
1680536195.1634817,126,-6099.68896484375
1680536204.2224855,127,-6099.68896484375
1680536213.2906744,128,-6099.68896484375
1680536222.5147393,129,-6099.68896484375
1680536231.6142313,130,-6099.68896484375
1680536240.6806211,131,-6099.68896484375
1680536249.85615,132,-6099.68896484375
1680536259.0436096,133,-6099.68896484375
1680536268.2199643,134,-6099.68896484375
1680536277.2688599,135,-6099.68896484375
1680536286.400561,136,-6099.68896484375
1680536295.5395842,137,-6099.68896484375
1680536304.7666955,138,-6099.68896484375
1680536313.9118345,139,-6099.68896484375
1680536323.0173142,140,-6099.68896484375
1680536332.0865848,141,-6099.68896484375
1680536341.1968372,142,-6099.68896484375
1680536350.2456186,143,-6099.68896484375
1680536359.4659832,144,-6099.68896484375
1680536368.6344972,145,-6099.68896484375
1680536377.7737892,146,-6099.68896484375
1680536386.9828491,147,-6099.68896484375
1680536396.2074425,148,-6099.68896484375
1680536405.301188,149,-6099.68896484375
1680536414.3727555,150,-6099.68896484375
1680536423.5008152,151,-6099.68896484375
1680536432.6336327,152,-6099.68896484375
1680536441.7632265,153,-6099.68896484375
1680536451.034917,154,-6099.68896484375
1680536460.2517724,155,-6099.68896484375
1680536469.3826897,156,-6099.68896484375
1680536478.6427798,157,-6099.68896484375
1680536487.8442743,158,-6099.68896484375
1680536496.9488013,159,-6099.68896484375
1680536506.056815,160,-6099.68896484375
1680536515.4303937,161,-6099.68896484375
1680536524.814303,162,-6099.68896484375
1680536534.0454507,163,-6099.68896484375
1680536543.5034015,164,-6099.68896484375
1680536552.8692813,165,-6099.68896484375
1680536562.0735464,166,-6099.68896484375
1680536571.5002534,167,-6099.68896484375
1680536580.729451,168,-6099.68896484375
1680536590.0319686,169,-6099.68896484375
1680536599.3184576,170,-6099.68896484375
1680536608.7003338,171,-6099.68896484375
1680536618.0327716,172,-6099.68896484375
1680536627.2679915,173,-6099.68896484375
1680536636.5658314,174,-6099.68896484375
1680536645.9392848,175,-6099.68896484375
1680536655.1082666,176,-6099.68896484375
1680536664.3774316,177,-6099.68896484375
1680536673.6514509,178,-6099.68896484375
1680536683.1283135,179,-6099.68896484375
1680536692.4940555,180,-6099.68896484375
1680536701.9606428,181,-6099.68896484375
1680536711.5203762,182,-6099.68896484375
1680536721.0240676,183,-6099.68896484375
1680536730.2993677,184,-6099.68896484375
1680536739.9153602,185,-6099.68896484375
1680536749.3968415,186,-6099.68896484375
1680536759.0624995,187,-6099.68896484375
1680536768.1825624,188,-6099.68896484375
1680536777.6922338,189,-6099.68896484375
1680536786.9733253,190,-6099.68896484375
1680536796.2877061,191,-6099.68896484375
1680536805.6325924,192,-6099.68896484375
1680536814.9776278,193,-6099.68896484375
1680536824.3660378,194,-6099.68896484375
1680536833.8807592,195,-6099.68896484375
1680536843.2860897,196,-6099.68896484375
1680536852.8977282,197,-6099.68896484375
1680536862.5351005,198,-6099.68896484375
1680536871.975696,199,-6099.68896484375
1680536881.5435128,200,-6099.68896484375
1680536890.9656289,201,-6099.68896484375
1680536900.3657954,202,-6099.68896484375
1680536909.8536296,203,-6099.68896484375
1680536919.2145998,204,-6099.68896484375
1680536928.3057966,205,-6099.68896484375
1680536937.3999474,206,-6099.68896484375
1680536946.626855,207,-6099.68896484375
1680536955.5536633,208,-6099.68896484375
1680536964.5081072,209,-6099.68896484375
1680536973.6579401,210,-6099.68896484375
1680536982.773393,211,-6099.68896484375
1680536991.6738484,212,-6099.68896484375
1680537000.726069,213,-6099.68896484375
1680537009.8646457,214,-6099.68896484375
1680537019.044954,215,-6099.68896484375
1680537028.14065,216,-6099.68896484375
1680537037.4430442,217,-6099.68896484375
1680537046.5940866,218,-6099.68896484375
1680537055.665093,219,-6099.68896484375
1680537064.83777,220,-6099.68896484375
1680537073.9589927,221,-6099.68896484375
1680537083.1673255,222,-6099.68896484375
1680537092.3667245,223,-6099.68896484375
1680537101.4707856,224,-6099.68896484375
1680537110.6479864,225,-6099.68896484375
1680537119.8908048,226,-6099.68896484375
1680537128.9568405,227,-6099.68896484375
1680537138.0137641,228,-6099.68896484375
1680537147.145962,229,-6099.68896484375
1680537156.1701293,230,-6099.68896484375
1680537165.183245,231,-6099.68896484375
1680537174.285973,232,-6099.68896484375
1680537183.286328,233,-6099.68896484375
1680537192.5643306,234,-6099.68896484375
1680537201.9085586,235,-6099.68896484375
1680537210.9002678,236,-6099.68896484375
1680537220.207045,237,-6099.68896484375
1680537229.3987825,238,-6099.68896484375
1680537238.6186373,239,-6099.68896484375
1680537247.9019794,240,-6099.68896484375
1680537257.3187912,241,-6099.68896484375
1680537266.6170137,242,-6099.68896484375
1680537275.8014536,243,-6099.68896484375
1680537285.1028733,244,-6099.68896484375
1680537294.4537573,245,-6099.68896484375
1680537303.6982837,246,-6099.68896484375
1680537312.8719087,247,-6099.68896484375
1680537322.1576343,248,-6099.68896484375
1680537331.3232334,249,-6099.68896484375
1680537340.7519133,250,-6099.68896484375
1680537350.0129526,251,-6099.68896484375
1680537359.3777585,252,-6099.68896484375
1680537368.3341284,253,-6099.68896484375
1680537377.5866632,254,-6099.68896484375
1680537386.961003,255,-6099.68896484375
1680537396.3451421,256,-6099.68896484375
1680537405.506808,257,-6099.68896484375
1680537414.8517451,258,-6099.68896484375
1680537424.1494613,259,-6099.68896484375
1680537433.3910108,260,-6099.68896484375
1680537442.5988863,261,-6099.68896484375
1680537451.8877406,262,-6099.68896484375
1680537461.1686113,263,-6099.68896484375
1680537470.5021155,264,-6099.68896484375
1680537479.7738523,265,-6099.68896484375
1680537488.8367782,266,-6099.68896484375
1680537498.1549177,267,-6099.68896484375
1680537507.5000155,268,-6099.68896484375
1680537516.839864,269,-6099.68896484375
1680537526.1789625,270,-6099.68896484375
1680537535.408172,271,-6099.68896484375
1680537544.7700522,272,-6099.68896484375
1680537554.1389794,273,-6099.68896484375
1680537563.3751197,274,-6099.68896484375
1680537572.766419,275,-6099.68896484375
1680537582.0656743,276,-6099.68896484375
1680537591.1328201,277,-6099.68896484375
1680537600.0997694,278,-6099.68896484375
1680537609.17392,279,-6099.68896484375
1680537618.2382307,280,-6099.68896484375
1680537627.3449416,281,-6099.68896484375
1680537636.5965538,282,-6099.68896484375
1680537645.768064,283,-6099.68896484375
