Wall time,Step,Value
1680880306.700662,0,-6047.181640625
1680880402.2714963,1,-6029.59716796875
1680880496.7997842,2,-6201.08154296875
1680880597.1861103,3,-6060.69384765625
1680880687.3786998,4,-5620.1484375
1680880792.3233428,5,-6332.30322265625
1680880890.7413197,6,-5777.52490234375
1680880988.6933236,7,-5953.04296875
1680881082.0113904,8,-5773.3466796875
1680881174.7862427,9,-6124.97314453125
1680881272.5350392,10,-5901.583984375
1680881361.6963406,11,-5808.45849609375
1680881461.680981,12,-5662.98291015625
1680881564.520277,13,-6000.7109375
1680881662.64421,14,-6009.38037109375
1680881759.415041,15,-6149.580078125
1680881841.3553267,16,-6375.037109375
1680881923.9563746,17,-5975.64892578125
1680882009.2671397,18,-5842.7607421875
1680882094.695722,19,-6022.8896484375
1680882184.2274542,20,-5855.8310546875
1680882287.1536717,21,-5757.8935546875
1680882388.3532927,22,-5804.951171875
1680882474.236675,23,-5477.74609375
1680882547.074449,24,-5947.11767578125
1680882627.6162848,25,-6124.97314453125
1680882700.6953185,26,-5901.583984375
1680882773.4243476,27,-5808.45849609375
1680882845.6032126,28,-5662.98291015625
1680882917.7050283,29,-6000.7109375
1680882989.0956676,30,-6009.38037109375
1680883061.0116544,31,-6149.580078125
1680883132.0908756,32,-6375.037109375
1680883203.4944208,33,-5975.64892578125
1680883274.859696,34,-5842.7607421875
1680883346.072929,35,-6022.8896484375
1680883417.9332738,36,-5855.8310546875
1680883499.6876993,37,-5757.8935546875
1680883585.8998146,38,-5804.951171875
1680883671.3240855,39,-5477.74609375
1680883760.7502022,40,-5947.11767578125
1680883845.452593,41,-6124.97314453125
1680883931.1925862,42,-5901.583984375
1680884020.7047937,43,-5808.45849609375
1680884098.7120981,44,-5662.98291015625
1680884175.0040257,45,-6000.7109375
1680884254.242746,46,-6009.38037109375
1680884327.186367,47,-6149.580078125
1680884410.1198392,48,-6375.037109375
1680884488.1410093,49,-5975.64892578125
1680884560.7300656,50,-5842.7607421875
1680884632.7157438,51,-6022.8896484375
1680884706.122783,52,-5855.8310546875
1680884778.935586,53,-5757.8935546875
1680884852.1676643,54,-5804.951171875
