Wall time,Step,Value
1680905354.2599206,0,-6374.1064453125
1680905429.5732133,1,-6788.9482421875
1680905505.7303243,2,-6581.86865234375
1680905619.462205,3,-6717.52490234375
1680905698.0653155,4,-7078.3193359375
1680905786.6471395,5,-6408.40234375
1680905882.2704663,6,-6913.58056640625
1680905996.634691,7,-6700.66357421875
1680906103.2664652,8,-6788.36376953125
1680906223.994257,9,-6644.71630859375
1680906361.6030478,10,-6900.65625
1680906485.069115,11,-6408.40234375
1680906603.6797137,12,-6913.58056640625
1680906728.1676242,13,-6700.66357421875
1680906857.1634796,14,-6788.36376953125
1680906974.7879632,15,-6644.71630859375
1680907075.779061,16,-6900.65625
1680907172.999584,17,-6408.40234375
1680907269.4559584,18,-6913.58056640625
1680907364.995425,19,-6700.66357421875
1680907454.7905102,20,-6788.36376953125
1680907542.1282,21,-6644.71630859375
1680907621.7203593,22,-6900.65625
1680907705.1073153,23,-6408.40234375
1680964828.918696,24,-6913.58056640625
1680964913.3252554,25,-6700.66357421875
1680964987.0006592,26,-6788.36376953125
1680965068.539459,27,-6644.71630859375
1680965162.2372859,28,-6900.65625
1680965240.3089254,29,-6408.40234375
1680965318.3668113,30,-6913.58056640625
1680965396.4404082,31,-6700.66357421875
1680965474.7752774,32,-6788.36376953125
1680965559.9158869,33,-6644.71630859375
1680965638.2172108,34,-6900.65625
1680965716.9081988,35,-6408.40234375
1680965806.1782227,36,-6913.58056640625
1680966406.1856022,37,-6700.66357421875
1680966497.880254,38,-6788.36376953125
1680966577.9853582,39,-6644.71630859375
1680966658.3029385,40,-6900.65625
1680966739.8442779,41,-6408.40234375
1680966822.6947224,42,-6913.58056640625
1680966903.8790958,43,-6700.66357421875
1680966993.667341,44,-6788.36376953125
1680967077.8406723,45,-6644.71630859375
1680967159.452161,46,-6900.65625
1680967240.8110936,47,-6408.40234375
1680967324.3330314,48,-6913.58056640625
1680967405.676623,49,-6700.66357421875
1680967487.702661,50,-6788.36376953125
1680967571.4059932,51,-6644.71630859375
1680967654.241657,52,-6900.65625
1680967737.6353734,53,-6408.40234375
1680967821.1989336,54,-6913.58056640625
1680967916.9337268,55,-6700.66357421875
1680968021.7329743,56,-6788.36376953125
1680968112.9533134,57,-6644.71630859375
1680968210.1777189,58,-6900.65625
1680968297.89057,59,-6408.40234375
1680968392.4466112,60,-6913.58056640625
1680968497.3314824,61,-6700.66357421875
1680968599.2959344,62,-6788.36376953125
1680968706.0778878,63,-6644.71630859375
1680968812.31186,64,-6900.65625
1680968902.8713813,65,-6408.40234375
1680968994.8966448,66,-6913.58056640625
1680969081.1543992,67,-6700.66357421875
1680969176.7857063,68,-6788.36376953125
1680969270.3020864,69,-6644.71630859375
1680969353.800684,70,-6900.65625
1680969438.1782403,71,-6408.40234375
1680969535.3456047,72,-6913.58056640625
1680969633.0860417,73,-6700.66357421875
1680969738.0298107,74,-6788.36376953125
1680969831.1631577,75,-6644.71630859375
1680969931.35044,76,-6900.65625
1680970041.603297,77,-6408.40234375
1680970153.7947934,78,-6913.58056640625
1680970269.9130971,79,-6700.66357421875
1680991857.6865652,80,-6788.36376953125
1680991992.2553697,81,-6644.71630859375
1680992090.10609,82,-6900.65625
1680992178.1394734,83,-6408.40234375
1680992261.9342175,84,-6913.58056640625
1680992342.3514292,85,-6700.66357421875
1680992424.3501873,86,-6788.36376953125
1680992506.0192943,87,-6644.71630859375
1680992586.329995,88,-6900.65625
1680992668.156238,89,-6408.40234375
1680992749.8717728,90,-6913.58056640625
1680992856.1734283,91,-6700.66357421875
1680992947.4698257,92,-6788.36376953125
1680993036.5080063,93,-6644.71630859375
1680993118.1244574,94,-6900.65625
1680993209.2514014,95,-6408.40234375
1680993289.3040216,96,-6913.58056640625
1680993369.95049,97,-6700.66357421875
1680993449.5901637,98,-6788.36376953125
1680993527.4292297,99,-6644.71630859375
1680993631.293831,100,-6900.65625
1680993729.9887471,101,-6408.40234375
1680993818.4572244,102,-6913.58056640625
1680993925.2320588,103,-6700.66357421875
1680994033.2689285,104,-6788.36376953125
1680994143.5212662,105,-6644.71630859375
1680997680.2360332,106,-6900.65625
1680997778.09118,107,-6408.40234375
1680997896.59019,108,-6913.58056640625
1680998009.1500814,109,-6700.66357421875
1680998112.6920824,110,-6788.36376953125
1680998223.9315085,111,-6644.71630859375
1680998336.5486763,112,-6900.65625
1680998438.280359,113,-6408.40234375
1680998553.3013809,114,-6913.58056640625
1680998658.920607,115,-6700.66357421875
1680998763.3334558,116,-6788.36376953125
1680998873.7236385,117,-6644.71630859375
1680998983.0447252,118,-6900.65625
1680999103.7918973,119,-6408.40234375
1680999218.032293,120,-6913.58056640625
1680999331.7867782,121,-6700.66357421875
1680999456.5396683,122,-6788.36376953125
1680999581.9994328,123,-6644.71630859375
1680999701.9047968,124,-6900.65625
1680999820.6484756,125,-6408.40234375
1680999951.672592,126,-6913.58056640625
1681000087.9088042,127,-6700.66357421875
1681000208.0474455,128,-6788.36376953125
