Wall time,Step,Value
1681312860.890056,5,-10267.3876953125
1681312864.803383,6,-10384.0693359375
1681312881.0298834,10,-10613.806640625
1681312885.1397722,11,-10526.4794921875
1681312892.9892917,13,-10406.626953125
1681312896.7387445,14,-10879.0986328125
1681312900.5061848,15,-10201.0322265625
1681312912.185856,18,-10229.25
1681312916.3970976,19,-10166.8671875
1681312920.3459206,20,-9745.1220703125
1681312935.5658145,24,-9999.9794921875
1681312970.5977015,33,-9607.296875
1681312974.6337047,34,-9937.48046875
1681312982.467257,36,-10363.9677734375
1681312997.5813613,40,-10366.7744140625
1681313005.4573748,42,-10396.765625
1681313013.3262396,44,-10149.740234375
1681313017.0162826,45,-9550.7705078125
1681313024.484732,47,-9826.16015625
1681313032.1118612,49,-10124.541015625
1681313036.1886241,50,-10366.095703125
1681313047.7329907,53,-10527.8603515625
1681313051.4374204,54,-10509.083984375
1681313055.1760635,55,-10383.0947265625
1681313059.0673907,56,-10162.4716796875
1681313062.8478518,57,-10842.7705078125
1681313078.4962707,61,-10266.61328125
1681313086.0921724,63,-10631.6982421875
1681313093.896242,65,-10334.677734375
1681313097.916216,66,-10245.6591796875
1681313101.650126,67,-9926.6240234375
1681313105.4513352,68,-10611.2001953125
1681313116.6864548,71,-10358.755859375
1681313120.3860707,72,-10740.5673828125
1681313124.259686,73,-10019.7490234375
1681313127.977975,74,-9667.5322265625
1681313148.602162,79,-10775.09375
1681313172.656345,84,-10153.6845703125
1681313177.7361834,85,-10175.75
1681313182.2761672,86,-10185.53125
1681313186.9842184,87,-10470.6787109375
1681313191.3162267,88,-9423.6201171875
1681313195.8913333,89,-10588.521484375
1681313218.080271,94,-10418.9013671875
1681313252.175955,102,-9914.7041015625
1681313265.0621884,105,-10342.2236328125
1681313268.9205627,106,-10447.7880859375
1681313298.6661756,113,-10449.3486328125
1681313310.9910307,116,-10157.7255859375
1681313319.536021,118,-10434.2802734375
1681313323.5664785,119,-10031.5869140625
1681313327.6896522,120,-10312.0029296875
1681313343.9962633,124,-10197.4560546875
1681313348.046352,125,-9793.05859375
1681313352.0576513,126,-9894.2890625
1681313364.2260509,129,-10300.2109375
1681313368.2528236,130,-9897.5439453125
1681313396.7910266,137,-10274.462890625
1681313404.8494914,139,-10310.1005859375
1681313412.9661953,141,-10051.984375
1681313416.9613073,142,-10344.921875
1681313421.1312432,143,-10777.9638671875
1681313425.1814744,144,-10260.3828125
1681313441.3487687,148,-9962.4462890625
1681313449.6664274,150,-10481.20703125
1681313461.8027725,153,-10220.4501953125
1681313469.7865152,155,-10227.6640625
1681313478.0764031,157,-10458.001953125
1681313482.12555,158,-10101.3525390625
1681313486.142378,159,-10519.677734375
1681313498.4221718,162,-10360.7861328125
1681313506.512775,164,-10648.984375
1681313510.5475676,165,-9493.5654296875
1681313518.8063474,167,-10296.96484375
1681313522.9026856,168,-10293.4228515625
1681313535.7066312,171,-10276.3388671875
1681313556.206644,176,-10179.24609375
1681313560.3227453,177,-9842.2802734375
1681313564.3761508,178,-10081.5966796875
1681313572.7593887,180,-10148.771484375
1681313585.1604815,183,-9869.8828125
1681313593.3091693,185,-10433.2197265625
1681313597.4243581,186,-9945.7080078125
1681313608.9924006,188,-10310.1064453125
1681313619.2864592,190,-9942.103515625
1681313623.606331,191,-10284.5927734375
1681313654.416327,198,-10033.4189453125
1681313688.312421,206,-10191.2607421875
1681313692.4394445,207,-10360.0703125
1681313696.5278327,208,-10605.6943359375
1681313713.127701,212,-10542.345703125
1681313725.4086373,215,-10621.6748046875
1681313737.8067036,218,-10517.6123046875
1681313741.856696,219,-10510.552734375
1681313754.1330266,222,-9799.0068359375
1681313758.1567833,223,-10420.68359375
1681313766.2916176,225,-10324.587890625
1681313770.3979015,226,-10341.6416015625
1681313774.476693,227,-10019.37109375
1681313783.2206855,229,-10510.42578125
1681313795.4465864,232,-10066.8408203125
1681313799.4862297,233,-10517.671875
1681313803.540295,234,-10656.59375
1681313815.9964495,237,-9942.6181640625
1681313828.5866134,240,-10084.7490234375
1681313848.9478962,245,-10640.333984375
1681313857.2666373,247,-10165.599609375
1681313865.4165375,249,-10621.9775390625
1681313869.5364938,250,-10674.8310546875
1681313890.210418,255,-10440.908203125
1681313902.1554928,258,-9850.732421875
1681313905.9555259,259,-10335.5888671875
1681313909.6675203,260,-10584.458984375
1681313913.3555224,261,-10381.5146484375
1681313920.6518457,263,-10566.7646484375
1681313935.4680026,267,-10468.3232421875
1681313942.852002,269,-10094.6796875
1681313950.323992,271,-10223.3623046875
1681313958.0120175,273,-10541.0234375
1681313977.2194273,278,-10445.8232421875
1681313984.5614474,280,-10616.259765625
1681313998.8416278,284,-10050.01171875
1681314017.130258,289,-10317.20703125
1681314024.7788103,291,-10027.9189453125
1681314028.5868182,292,-10109.6767578125
1681314046.9872694,297,-10315.421875
1681314050.6592681,298,-10414.1923828125
1681314054.4916975,299,-10207.5087890625
1681314061.9716964,301,-10361.849609375
1681314065.819911,302,-10358.83984375
1681314069.8599086,303,-10160.404296875
1681314084.5880437,307,-10433.36328125
1681314088.2999983,308,-10907.2763671875
1681314095.4760485,310,-10077.9111328125
1681314106.8122976,313,-10322.3603515625
1681314122.2924786,317,-10570.1640625
1681314126.132517,318,-9998.302734375
1681314129.9965181,319,-10324.16796875
1681314133.7405155,320,-10124.4208984375
1681314140.9406888,322,-10622.9443359375
1681314152.0688007,325,-10344.9365234375
1681314155.7487657,326,-9849.3740234375
1681314159.4767659,327,-10593.107421875
1681314170.6208065,330,-10196.0908203125
1681314174.4288054,331,-10168.271484375
1681314181.6848052,333,-10693.4404296875
1681314203.6848078,339,-9592.1181640625
1681314210.9727647,341,-10245.2607421875
1681314221.772542,344,-10619.8857421875
1681314225.5965066,345,-10311.47265625
1681314235.2370446,347,-10715.634765625
1681314239.1410177,348,-10055.57421875
1681314258.5895963,353,-10063.9853515625
1681314262.24559,354,-9754.1884765625
1681314269.7178805,356,-10543.986328125
1681314277.1178772,358,-10071.5390625
1681314280.8538735,359,-10630.0224609375
1681314284.7258742,360,-10522.3359375
1681314296.237836,363,-10246.4423828125
1681314311.5102813,367,-10295.8681640625
