Wall time,Step,Value
1684949583.839002,0,-9597.109375
1684949587.934766,1,-9472.71484375
1684949591.7794058,2,-9881.9013671875
1684949596.1756234,3,-9250.4375
1684949599.9937098,4,-9925.3154296875
1684949604.2895703,5,-9507.5693359375
1684949608.2125185,6,-9650.28125
1684949612.3989348,7,-9847.6630859375
1684949616.4747012,8,-9400.47265625
1684949620.4781642,9,-9416.724609375
1684949624.250609,10,-9847.8193359375
1684949628.5085144,11,-9966.63671875
1684949633.6383386,12,-9666.0205078125
1684949637.3530717,13,-10034.236328125
1684949640.9840443,14,-9523.47265625
1684949644.566293,15,-9753.474609375
1684949648.1520712,16,-10040.48828125
1684949651.7006962,17,-9857.064453125
1684949655.270965,18,-9232.6162109375
1684949658.815876,19,-9376.78125
1684949662.4016063,20,-9979.5703125
1684949666.0005028,21,-9222.12109375
1684949669.54096,22,-9631.09375
1684949673.1928408,23,-9868.97265625
1684949676.7378595,24,-9333.7119140625
1684949680.2804759,25,-9432.1787109375
1684949683.8739657,26,-9791.8251953125
1684949687.705515,27,-9713.2734375
1684949692.1306915,28,-9568.2919921875
1684949698.2646995,29,-10263.236328125
1684949702.6355362,30,-9595.599609375
1684949706.8048322,31,-9631.44921875
1684949710.7965055,32,-9468.1298828125
1684949714.7595491,33,-9478.333984375
1684949718.8472166,34,-9677.9521484375
1684949722.7489226,35,-9833.513671875
1684949726.6466973,36,-10025.41796875
1684949730.3528209,37,-9890.052734375
1684949734.3403614,38,-9987.560546875
1684949738.210859,39,-9923.58984375
1684949742.2772486,40,-9570.373046875
1684949746.2882712,41,-9498.27734375
1684949750.1349502,42,-9428.2216796875
1684949754.2194762,43,-9775.3486328125
1684949759.0709512,44,-9876.0869140625
1684949763.0020995,45,-9680.6220703125
1684949767.3650317,46,-9429.5078125
1684949771.7068121,47,-9312.875
1684949776.1694674,48,-9806.4150390625
1684949780.2702212,49,-9589.9150390625
1684949784.717479,50,-9961.3564453125
1684949788.71316,51,-9724.61328125
1684949792.8614683,52,-9933.82421875
1684949796.9273636,53,-9114.826171875
1684949800.9968238,54,-9344.6357421875
1684949804.8483472,55,-9190.9052734375
1684949808.5617535,56,-9844.849609375
1684949812.3802364,57,-9328.427734375
1684949816.4838753,58,-9877.359375
1684949820.4109452,59,-9949.2314453125
1684949824.5734496,60,-9323.4052734375
1684949829.3375697,61,-9367.1357421875
