Wall time,Step,Value
1682968725.4029236,0,-8843.1845703125
1682968788.2007267,1,-8816.5185546875
1682968850.349749,2,-8443.1689453125
1682968913.901661,3,-8553.0283203125
1682968976.9611905,4,-8537.341796875
1682969039.5162802,5,-8906.6533203125
1682969104.2642639,6,-8858.72265625
1682969168.4754457,7,-8865.7646484375
1682969232.7470896,8,-9019.2734375
1682969295.51191,9,-8869.65234375
1682969360.5608459,10,-8592.5244140625
1682969426.6669436,11,-9140.3017578125
1682969510.5867288,12,-8463.2451171875
1682969621.0672228,13,-8483.2255859375
1682969727.2832375,14,-8820.1455078125
1682969831.151248,15,-8276.65625
1682969935.6836154,16,-9140.3017578125
1682970040.0413764,17,-8463.2451171875
1682970141.310261,18,-8483.2255859375
1682970239.931403,19,-8820.1455078125
1682970282.0414057,20,-8276.65625
1682970324.6219606,21,-9140.3017578125
1682970367.6233158,22,-8463.2451171875
1682970410.7283258,23,-8483.2255859375
1682970454.2542171,24,-8820.1455078125
1682970498.271125,25,-8276.65625
1682970542.2772179,26,-9140.3017578125
1682970586.123692,27,-8463.2451171875
1682970630.0486372,28,-8483.2255859375
1682970674.1794655,29,-8820.1455078125
1682970718.2744946,30,-8276.65625
1682970762.331424,31,-9140.3017578125
1682970806.7332106,32,-8463.2451171875
1682970851.0359633,33,-8483.2255859375
1682970896.3587563,34,-8820.1455078125
1682970941.021585,35,-8276.65625
1682970985.5289981,36,-9140.3017578125
1682971030.1122768,37,-8463.2451171875
1682971074.7436497,38,-8483.2255859375
1682971119.443801,39,-8820.1455078125
1682971164.569275,40,-8276.65625
1682971211.9038682,41,-9140.3017578125
1682971258.7883885,42,-8463.2451171875
1682971304.178811,43,-8483.2255859375
1682971349.3211336,44,-8820.1455078125
1682971393.5379686,45,-8276.65625
1682971439.0382824,46,-9140.3017578125
1682971484.3098404,47,-8463.2451171875
1682971535.2749097,48,-8483.2255859375
1682971590.7127082,49,-8820.1455078125
1682971645.4421055,50,-8276.65625
1682971700.5612676,51,-9140.3017578125
1682971756.4498904,52,-8463.2451171875
1682971811.207394,53,-8483.2255859375
1682971865.3002856,54,-8820.1455078125
1682971919.539334,55,-8276.65625
1682971975.0816607,56,-9140.3017578125
1682972031.458588,57,-8463.2451171875
1682972087.4448297,58,-8483.2255859375
1682972142.36857,59,-8820.1455078125
1682972197.0382185,60,-8276.65625
1682972251.4758809,61,-9140.3017578125
1682972306.4020078,62,-8463.2451171875
1682972360.7408388,63,-8483.2255859375
1682972415.6471057,64,-8820.1455078125
1682972470.2017703,65,-8276.65625
1682972524.5697658,66,-9140.3017578125
1682972578.9604237,67,-8463.2451171875
1683008544.0773363,68,-8483.2255859375
1683008614.9239175,69,-8820.1455078125
1683008683.7750366,70,-8276.65625
1683008753.6931188,71,-9140.3017578125
1683008825.7086427,72,-8463.2451171875
1683008896.2562132,73,-8483.2255859375
1683008970.4814765,74,-8820.1455078125
1683009045.6355705,75,-8276.65625
1683009117.6003273,76,-9140.3017578125
1683009189.2523396,77,-8463.2451171875
1683009259.3452578,78,-8483.2255859375
1683009329.343868,79,-8820.1455078125
1683009401.4302976,80,-8276.65625
1683009474.799477,81,-9140.3017578125
1683009545.9590673,82,-8463.2451171875
1683009616.142189,83,-8483.2255859375
1683009687.06422,84,-8820.1455078125
1683009756.9898953,85,-8276.65625
1683009827.2129264,86,-9140.3017578125
1683009897.5503595,87,-8463.2451171875
1683009967.705331,88,-8483.2255859375
1683010038.0478892,89,-8820.1455078125
1683010111.1620674,90,-8276.65625
1683010175.1748621,91,-9140.3017578125
1683010226.7169733,92,-8463.2451171875
1683010278.6810539,93,-8483.2255859375
1683010330.9050794,94,-8820.1455078125
1683010387.3269937,95,-8276.65625
1683010439.9833071,96,-9140.3017578125
1683010492.919853,97,-8463.2451171875
1683010545.139265,98,-8483.2255859375
1683010598.0296512,99,-8820.1455078125
